Sympecma paedisca	35
Indolestes peregrinus	36
Indolestes boninensis	12
Lestes sponsa	22
Lestes dryas	14
Lestes temporalis	31
Lestes japonicus	31
Psolodesmus kuroiwae	16
Mnais costalis	35
Mnais pruinosa	30
Calopteryx japonica	23
Calopteryx cornelia	35
Atrocalopteryx atrata	23
Matrona japonica	34
Rhipidolestes aculeatus	15
Rhipidolestes okinawanus	16
Rhipidolestes shozoi	23
Rhipidolestes amamiensis	10
Rhipidolestes asatoi	14
Rhipidolestes yakusimensis	16
Rhipidolestes hiraoi	12
Rhinocypha ogasawarensis	12
Rhinocypha uenoi	14
Bayadera ishigakiana	16
Euphaea yayeyamana	33
Coeliccia flavicauda	13
Coeliccia ryukyuensis	21
Platycnemis foliacea	38
Platycnemis echigoana	32
Pseudocopera annulata	27
Pseudocopera tokyoensis	22
Nehalennia speciosa	36
Ceriagrion melanurum	36
Ceriagrion nipponicum	20
Ceriagrion auranticum	28
Coenagrion lanceolatum	24
Coenagrion hylas	13
Coenagrion terue	18
Coenagrion ecornutum	18
Pseudagrion pilidorsum	30
Pseudagrion microcephalum	20
Erythromma humerale	14
Paracercion plagiosum	32
Paracercion calamorum	26
Paracercion hieroglyphicum	23
Paracercion sieboldii	22
Paracercion melanotum	22
Agriocnemis pygmaea	12
Agriocnemis femina	26
Mortonagrion selenion	40
Mortonagrion hirosei	35
Aciagrion migratum	18
Enallagma circulatum	16
Ischnura senegalensis	26
Ischnura elegans	17
Ischnura aurora	14
Ischnura asiatica	30
Ischnura ezoin	12
Epiophlebia superstes	25
Sarasaeschna pryeri	34
Sarasaeschna kunigamiensis	10
Boyeria maclachlani	12
Planaeschna ishigakiana	14
Planaeschna risi	11
Planaeschna milnei	25
Aeschnophlebia longistigma	28
Aeschnophlebia anisoptera	12
Gynacantha japonica	29
Gynacantha ryukyuensis	15
Anaciaeschna jaspidea	12
Anaciaeschna martini	31
Polycanthagyna melanictera	29
Aeshna mixta	30
Aeshna crenata	15
Aeshna juncea	16
Aeshna subarctica	12
Anax ephippiger	15
Anax junius	12
Anax parthenope	14
Anax nigrofasciatus	20
Anax guttatus	13
Anax panybeus	14
Sinictinogomphus clavatus	27
Ictinogomphus pertinax	26
Sieboldius albardae	29
Melligomphus viridicostus	29
Nihonogomphus viridis	35
Leptogomphus yayeyamensis	29
Davidius fujiama	15
Davidius nanus	27
Davidius moiwanus	19
Lanthus fujiacus	28
Sinogomphus flavolimbatus	31
Stylogomphus suzukii	28
Stylogomphus shirozui	12
Stylogomphus ryukyuanus	16
Trigomphus citimus	17
Trigomphus ogumai	20
Trigomphus melampus	20
Trigomphus interruptus	26
Anisogomphus maacki	17
Stylurus annulatus	13
Stylurus nagoyanus	22
Stylurus oculatus	22
Shaogomphus postocularis	30
Asiagomphus pryeri	22
Asiagomphus yayeyamensis	21
Asiagomphus melaenops	23
Asiagomphus amamiensis	22
Tanypteryx pryeri	31
Anotogaster sieboldii	24
Anotogaster klossi	18
Chlorogomphus okinawensis	10
Chlorogomphus iriomotensis	11
Chlorogomphus brunneus	36
Macromidia ishidai	11
Hemicordulia ogasawarensis	12
Hemicordulia mindana	13
Hemicordulia okinawensis	19
Cordulia amurensis	23
Epitheca marginata	27
Epitheca bimaculata	17
Somatochlora arctica	11
Somatochlora alpestris	13
Somatochlora uchidai	24
Somatochlora graeseri	15
Somatochlora viridiaenea	15
Somatochlora clavata	15
Somatochlora exuberata	17
Epophthalmia elegans	18
Macromia daimoji	13
Macromia urania	12
Macromia amphigena	20
Macromia kubokaiya	17
Macromia clio	11
Macrodiplax cora	13
Rhyothemis fuliginosa	39
Rhyothemis severini	22
Rhyothemis regia	14
Rhyothemis variegata	35
Rhyothemis phyllis	18
Leucorrhinia dubia	26
Leucorrhinia intermedia	18
Sympetrum fonscolombii	22
Sympetrum darwinianum	25
Sympetrum maculatum	36
Sympetrum gracile	34
Sympetrum risi	35
Sympetrum infuscatum	28
Sympetrum flaveolum	27
Sympetrum danae	31
Sympetrum frequens	20
Sympetrum depressiusculum	13
Sympetrum striolatum	23
Sympetrum vulgatum	21
Sympetrum baccha	24
Sympetrum parvulum	20
Sympetrum eroticum	22
Sympetrum kunckeli	33
Sympetrum pedemontanum	37
Sympetrum cordulegaster	27
Sympetrum speciosum	35
Sympetrum croceolum	31
Sympetrum uniforme	38
Hydrobasileus croceus	12
Tramea loewii	11
Tramea basilaris	13
Tramea virginia	15
Tramea transmarina	16
Brachydiplax chalybea	31
Pseudothemis zonata	18
Brachythemis contaminata	23
Deielia phaon	40
Tholymis tillarga	18
Zyxomma petiolatum	15
Zyxomma obtusum	12
Nannophya pygmaea	33
Acisoma panorpoides	29
Crocothemis servilia	38
Diplacodes trivialis	27
Diplacodes bipunctatus	14
Neurothemis ramburii	35
Neurothemis terminata	14
Neurothemis fluctuans	20
Pantala flavescens	26
Trithemis aurora	39
Lathrecista asiatica	16
Agrionoptera sanguinolenta	1
Agrionoptera insignis	17
Boninthemis insularis	17
Lyriothemis flava	24
Lyriothemis elegantissima	36
Lyriothemis pachygastra	35
Orthetrum sabina	29
Orthetrum poecilops	26
Orthetrum albistylum	21
Orthetrum japonicum	31
Orthetrum internum	16
Orthetrum luzonicum	27
Orthetrum glaucum	13
Orthetrum pruinosum	31
Orthetrum melania	36
Libellula quadrimaculata	31
Libellula angelina	32
#4571
