year,month,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
1996,1,157,119,48,15,59.5,101,29,21.5,7.5,3,6,18,13,19.5,197.5,256,245.5,238,13,48.5,82,59,21,16,115.5,36.5,35,31,35,21,205.5,94,30.5,39.5,36.5,11,32.5,43,56,41.5,38.5,44.5,58,14,55,67,58
1996,2,77.5,111.5,29,14,66,46.5,24,32,31,17,31,40.5,45,50,111.5,131.5,117,122,39,45,42,34.5,30.5,31,58,40,35,32,37.5,42,141,98,28,46,67,33,28.5,42,51.5,41.5,41.5,36,43.5,43,36,51,123
1996,3,73,77.5,121.5,121,145.5,114.5,111,90,64.5,44,74,76.5,118,148.5,148.5,189,176.5,179.5,115,87,250.5,342.5,202,156.5,173,173,132.5,104.5,135,141.5,140.5,172,70,180.5,214,80.5,47.5,89,236.5,124.5,152.5,110,146,108,174,141.5,231
1996,4,30,60,53.5,47.5,83,47.5,29.5,67.5,47.5,38.5,83,61.5,111,104,45.5,61.5,52.5,43.5,32.5,12.5,30.5,53.5,34.5,45.5,31.5,39.5,28.5,33.5,37,69.5,50.5,38.5,42.5,72.5,83.5,65,66,82.5,104,104,94,82,109.5,123,237.5,219,183
1996,5,88,105,110.5,127.5,113.5,128,103,169,132,77.5,119,105.5,128,144.5,130,126,109,109.5,58.5,116,141,89.5,104,114,112,95,68,62.5,85.5,79,97.5,88,114,101,97,67,78,60.5,279,50.5,85,50.5,41,82.5,141.5,161,394
1996,6,29,134,170,126,212,98.5,69,51,98,93.5,33,39.5,36,66.5,185,305,342.5,219.5,89.5,145,251.5,219.5,176,162,194.5,218,283.5,269,290.5,177,197.5,363,232,284.5,439.5,135.5,248.5,328,223,344,489,370.5,637,320,373.5,459.5,103
1996,7,88.5,69.5,146,117,134,71.5,103,178,149.5,130.5,207,328.5,253.5,480,80,60.5,42,51,131,100,165.5,330.5,135.5,135.5,127,149,114.5,80.5,95.5,122,173.5,110,73.5,104,107.5,70.5,63,170,204,113,108.5,93,247,207.5,422,478.5,43
1996,8,85.5,54.5,56.5,82.5,47,85.5,23.5,22,41.5,65,14,45.5,31.5,49.5,84,149,121,218.5,46.5,75.5,252.5,146.5,101.5,207,212.5,337,129.5,112.5,129.5,44,139,101,85.5,106,209,147.5,47.5,61.5,140,179.5,331.5,256.5,176.5,93.5,209,239,294
1996,9,124.5,72.5,82.5,207.5,57,134,143.5,317.5,295,219.5,325,395,382,373,131,159,179.5,207.5,178,113.5,150,128.5,104,113,130.5,157.5,173,165,139,99,232.5,116.5,126,172,68.5,141,114.5,75,160,76,74.5,75.5,127.5,80.5,234.5,66,237
1996,10,153,63,13,16,144,13,24,66,78.5,64.5,56,82,83.5,95.5,114,102,114,123.5,77,45,100.5,125.5,106,139.5,142.5,109.5,114.5,122.5,101.5,69,203,86,121,58.5,48.5,68,114.5,70.5,131,72,45,46,40.5,74,95,13.5,121
1996,11,96,115,81,76.5,245.5,96.5,80.5,105,93.5,52.5,91,121,84,95,219,269.5,316.5,188.5,58.5,48,92,139.5,82.5,86.5,107.5,69,67,52.5,72.5,72,81.5,135,42,39,60,48,42,49,41,70,47.5,41,72.5,45.5,85,95,39.5
1996,12,97,105.5,67,9.5,188.5,31.5,15.5,43,43.5,10,46,32.5,48,58,253.5,228.5,318.5,322,26.5,52.5,99.5,142.5,59.5,60,112.5,91.5,100.5,90.5,63,105.5,175,107.5,42,58.5,69.5,144,37.5,60.5,106.5,59,89.5,57.5,37.5,21,35,91.5,60
1997,1,49.5,127,22.5,56,95.5,54,37.5,47.5,42.5,13,28,31,29,33.5,169.5,252,268.5,273.5,26,60.5,41.5,17,21.5,15.5,121.5,33,34,29,27,31,164,126.5,19.5,18,51.5,23.5,35,83.5,39,68,46,44,47.5,34.5,45.5,33.5,97
1997,2,120,80,55.5,32.5,80.5,58,34.5,47.5,24.5,6,20,29,21.5,40,92,101.5,114,139.5,29.5,52.5,49.5,68,27.5,24,82.5,37.5,28,29,26,40.5,113,84.5,19.5,42.5,32.5,28,18.5,56,42,32,20,23.5,52,43,42.5,55,106
1997,3,59.5,47,67.5,19.5,56,32,42.5,83.5,86.5,58.5,71,78.5,106,93.5,98,111,92.5,101.5,60.5,39,115,153.5,86,67.5,93.5,84.5,107,89,92,77.5,69,101,87,95,127.5,79,89.5,105.5,162.5,91.5,115.5,75,113.5,88,137.5,141,80.5
1997,4,15.5,51,65.5,69.5,86.5,69,86,74.5,146,52,79,92.5,105.5,146.5,149.5,260,219.5,163.5,65.5,59,129,254,131.5,97,123.5,108,126,116,87,106,99.5,121.5,87,144.5,195.5,57.5,101.5,132.5,125.5,142.5,143.5,100,224,146,130.5,127,235.5
