data	model	time
F	vgg	5.881821111111111
F	vgg	5.608908333333333
F	vgg	5.995031944444444
F	vgg	5.828841111111111
F	vgg	5.852245
F	vgg	5.910866666666667
F	vgg	6.009737777777778
F	vgg	5.982313055555555
F	vgg	5.956794722222223
F	vgg	5.701348333333334
F	resnet	5.207525277777778
F	resnet	4.911376944444445
F	resnet	5.279736111111111
F	resnet	5.258371944444445
F	resnet	5.192687222222222
F	resnet	5.192003333333334
F	resnet	5.276993888888889
F	resnet	5.1746525000000005
F	resnet	5.131926388888888
F	resnet	4.9307855555555555
F	vgg19	7.131609722222222
F	vgg19	6.9538086111111115
F	vgg19	7.13947
F	vgg19	7.216639166666667
F	vgg19	7.098363888888889
F	vgg19	7.086465
F	vgg19	7.111850277777777
F	vgg19	7.159836944444445
F	vgg19	7.176763611111111
F	vgg19	7.018449444444444
F	resnet152	7.521461944444445
F	resnet152	7.314302777777778
F	resnet152	7.518408888888889
F	resnet152	7.452724166666667
F	resnet152	7.495026388888889
F	resnet152	7.4005197222222225
F	resnet152	7.478218611111111
F	resnet152	7.444907777777778
F	resnet152	7.518895833333334
F	resnet152	7.299596388888888
W1	vgg	5.584615277777777
W1	vgg	5.5375958333333335
W1	vgg	5.628624722222222
W1	vgg	5.485900555555555
W1	vgg	5.534256388888889
W1	vgg	5.481488888888889
W1	vgg	5.64759
W1	vgg	5.602886666666667
W1	vgg	5.595745833333333
W1	vgg	5.462285555555556
W1	resnet	4.915147500000001
W1	resnet	4.931993611111111
W1	resnet	4.87728611111111
W1	resnet	4.846245833333333
W1	resnet	4.906348333333334
W1	resnet	4.838034166666667
W1	resnet	4.9804925
W1	resnet	4.936188888888889
W1	resnet	4.926360555555556
W1	resnet	4.826275
W1	vgg19	6.899135
W1	vgg19	6.823771666666667
W1	vgg19	6.796726111111111
W1	vgg19	6.768391111111111
W1	vgg19	6.788461944444444
W1	vgg19	6.7756694444444445
W1	vgg19	6.808636388888889
W1	vgg19	6.957240555555556
W1	vgg19	6.8756699999999995
W1	vgg19	6.754784166666667
W1	resnet152	7.421943333333334
W1	resnet152	7.150744444444445
W1	resnet152	7.1155286111111105
W1	resnet152	7.212228611111112
W1	resnet152	7.139260555555556
W1	resnet152	7.205503055555556
W1	resnet152	7.167810277777778
W1	resnet152	7.360420833333333
W1	resnet152	7.185241944444445
W1	resnet152	7.184866666666667
W1F	vgg	5.6711961111111115
W1F	vgg	6.0102425
W1F	vgg	5.7663725
W1F	vgg	5.747040833333333
W1F	vgg	5.762429444444445
W1F	vgg	5.977250277777778
W1F	vgg	5.794962222222222
W1F	vgg	5.801232222222222
W1F	vgg	5.654780277777778
W1F	vgg	5.748544722222222
W1F	resnet	5.026648333333333
W1F	resnet	5.1655597222222225
W1F	resnet	5.111456666666666
W1F	resnet	5.029663611111111
W1F	resnet	5.069350277777778
W1F	resnet	5.19338138888889
W1F	resnet	5.054851388888888
W1F	resnet	5.084338611111111
W1F	resnet	5.038775555555556
W1F	resnet	5.043307222222222
W1F	vgg19	6.9354861111111115
W1F	vgg19	7.0529802777777775
W1F	vgg19	6.977537222222223
W1F	vgg19	6.978801111111111
W1F	vgg19	7.008982777777778
W1F	vgg19	7.043045555555556
W1F	vgg19	7.029553611111111
W1F	vgg19	6.996656944444444
W1F	vgg19	6.9608002777777775
W1F	vgg19	6.934346666666667
W1F	resnet152	7.2847494444444445
W1F	resnet152	7.339667222222222
W1F	resnet152	7.299998611111111
W1F	resnet152	7.359631944444444
W1F	resnet152	7.419652777777778
W1F	resnet152	7.349491666666666
W1F	resnet152	7.39786388888889
W1F	resnet152	7.282821944444445
W1F	resnet152	7.3008774999999995
W1F	resnet152	7.368397777777777
W2	vgg	5.919368333333334
W2	vgg	6.024493888888889
W2	vgg	5.833223888888889
W2	vgg	5.9195275
W2	vgg	5.945433333333334
W2	vgg	5.975378611111111
W2	vgg	5.823014722222222
W2	vgg	5.971383888888889
W2	vgg	5.904781666666667
W2	vgg	5.960035833333333
W2	resnet	5.217093888888889
W2	resnet	5.384475
W2	resnet	5.09462
W2	resnet	5.159358888888889
W2	resnet	5.253923888888889
W2	resnet	5.2528669444444445
W2	resnet	5.163296944444445
W2	resnet	5.2566830555555555
W2	resnet	5.156383055555556
W2	resnet	5.208216944444445
W2	vgg19	7.062375277777778
W2	vgg19	7.273477777777778
W2	vgg19	7.064904444444444
W2	vgg19	7.091691666666667
W2	vgg19	7.168724166666667
W2	vgg19	7.111954444444444
W2	vgg19	7.071838055555555
W2	vgg19	7.181382222222222
W2	vgg19	7.065500277777778
W2	vgg19	7.142813055555556
W2	resnet152	7.4337575000000005
W2	resnet152	7.6393377777777784
W2	resnet152	7.519254444444444
W2	resnet152	7.412355000000001
W2	resnet152	7.651184166666667
W2	resnet152	7.469401666666667
W2	resnet152	7.374913055555555
W2	resnet152	7.567047222222222
W2	resnet152	7.494175555555556
W2	resnet152	7.443021944444444
W2F	vgg	5.977323055555556
W2F	vgg	5.974521111111112
W2F	vgg	5.9159580555555555
W2F	vgg	5.896466944444445
W2F	vgg	5.889650555555556
W2F	vgg	5.832316388888889
W2F	vgg	5.753733055555555
W2F	vgg	5.842266666666666
W2F	vgg	5.860371111111111
W2F	vgg	5.84908361111111
W2F	resnet	5.231546111111111
W2F	resnet	5.247631666666667
W2F	resnet	5.098753055555555
W2F	resnet	5.310591944444444
W2F	resnet	5.265506666666667
W2F	resnet	5.083240833333333
W2F	resnet	5.271878333333333
W2F	resnet	5.205755
W2F	resnet	5.1109744444444445
W2F	resnet	5.2207711111111115
W2F	vgg19	7.11292
W2F	vgg19	7.1421994444444445
W2F	vgg19	7.152121388888889
W2F	vgg19	7.231441944444445
W2F	vgg19	7.179964444444445
W2F	vgg19	7.035519444444445
W2F	vgg19	7.1062047222222215
W2F	vgg19	7.204818611111111
W2F	vgg19	7.044485555555555
W2F	vgg19	7.179398055555556
W2F	resnet152	7.500743888888889
W2F	resnet152	7.452598888888889
W2F	resnet152	7.486793888888889
W2F	resnet152	7.4751030555555555
W2F	resnet152	7.674172222222222
W2F	resnet152	7.362580277777777
W2F	resnet152	7.460230277777778
W2F	resnet152	7.437750277777778
W2F	resnet152	7.353468333333333
W2F	resnet152	7.453198055555556
