data	model	time
F	vgg	5.935884166666667
F	vgg	5.7041844444444445
F	vgg	5.975444444444444
F	vgg	5.860033888888888
F	vgg	5.922516111111111
F	vgg	5.885314722222223
F	vgg	6.003223055555556
F	vgg	6.043816944444444
F	vgg	5.944254444444445
F	vgg	5.725984722222222
F	resnet	5.1312622222222215
F	resnet	4.94088
F	resnet	5.2370325
F	resnet	5.231364166666666
F	resnet	5.154951666666667
F	resnet	5.143559166666667
F	resnet	5.263174444444444
F	resnet	5.265994444444445
F	resnet	5.151893611111111
F	resnet	4.950865277777778
F	vgg19	7.060631666666667
F	vgg19	6.9578822222222225
F	vgg19	7.236141111111111
F	vgg19	7.110470555555556
F	vgg19	7.068528888888888
F	vgg19	7.166264444444445
F	vgg19	7.195609444444445
F	vgg19	7.23749
F	vgg19	7.134758888888889
F	vgg19	7.001096944444445
F	resnet152	7.490261944444445
F	resnet152	7.363091944444444
F	resnet152	7.583036944444444
F	resnet152	7.441626388888889
F	resnet152	7.4587575
F	resnet152	7.479266388888889
F	resnet152	7.571730277777777
F	resnet152	7.588866111111111
F	resnet152	7.480125833333333
F	resnet152	7.275138055555556
W1	vgg	5.630173055555555
W1	vgg	5.729754166666667
W1	vgg	5.593498333333333
W1	vgg	5.588030555555555
W1	vgg	5.686477222222223
W1	vgg	5.4932211111111116
W1	vgg	5.576480277777778
W1	vgg	5.659750000000001
W1	vgg	5.603065277777778
W1	vgg	5.5455733333333335
W1	resnet	4.911341944444445
W1	resnet	4.957709166666667
W1	resnet	4.939943055555556
W1	resnet	4.8802375
W1	resnet	4.981986388888889
W1	resnet	4.8443625
W1	resnet	4.94359
W1	resnet	4.939482777777778
W1	resnet	4.9514875
W1	resnet	4.870828888888888
W1	vgg19	6.805079444444444
W1	vgg19	6.772535833333333
W1	vgg19	6.821943611111111
W1	vgg19	6.7428469444444445
W1	vgg19	6.752783888888889
W1	vgg19	6.7589525
W1	vgg19	6.820711111111111
W1	vgg19	6.851705277777778
W1	vgg19	6.8719025
W1	vgg19	6.760311944444444
W1	resnet152	7.172657500000001
W1	resnet152	7.104291944444444
W1	resnet152	7.106680833333333
W1	resnet152	7.194317222222223
W1	resnet152	7.016206388888889
W1	resnet152	7.15256
W1	resnet152	7.100446944444444
W1	resnet152	7.193895555555556
W1	resnet152	7.163289444444445
W1	resnet152	7.13575638888889
W1F	vgg	5.756678333333333
W1F	vgg	5.745527222222222
W1F	vgg	5.811629166666666
W1F	vgg	5.733995833333333
W1F	vgg	5.652954722222223
W1F	vgg	5.733703888888889
W1F	vgg	5.688113888888889
W1F	vgg	5.779368611111111
W1F	vgg	5.755538055555555
W1F	vgg	5.751113055555556
W1F	resnet	5.116269444444444
W1F	resnet	5.031538055555555
W1F	resnet	5.039200833333333
W1F	resnet	5.0582325
W1F	resnet	4.926836111111111
W1F	resnet	5.087916388888889
W1F	resnet	4.977943333333333
W1F	resnet	5.020185277777777
W1F	resnet	5.136103888888889
W1F	resnet	5.053201388888889
W1F	vgg19	6.9604975
W1F	vgg19	7.0299555555555555
W1F	vgg19	6.967455
W1F	vgg19	6.955363888888889
W1F	vgg19	7.004251944444444
W1F	vgg19	7.009108611111111
W1F	vgg19	7.047482222222222
W1F	vgg19	6.999593611111111
W1F	vgg19	6.931205555555556
W1F	vgg19	6.937613333333333
W1F	resnet152	7.249627777777778
W1F	resnet152	7.344645833333333
W1F	resnet152	7.265189166666667
W1F	resnet152	7.319754722222222
W1F	resnet152	7.509976666666667
W1F	resnet152	7.3660125
W1F	resnet152	7.497823055555555
W1F	resnet152	7.252563611111111
W1F	resnet152	7.2052861111111115
W1F	resnet152	7.365323333333333
W2	vgg	5.891381666666667
W2	vgg	5.854803055555555
W2	vgg	5.785515833333333
W2	vgg	5.920066666666667
W2	vgg	5.980086111111111
W2	vgg	5.864166388888888
W2	vgg	5.967889722222222
W2	vgg	5.8195875
W2	vgg	5.900300277777778
W2	vgg	5.820225555555555
W2	resnet	5.2077358333333335
W2	resnet	5.221145833333334
W2	resnet	5.149457222222223
W2	resnet	5.206161666666667
W2	resnet	5.219373333333333
W2	resnet	5.208613333333333
W2	resnet	5.198635555555556
W2	resnet	5.089745
W2	resnet	5.1944025
W2	resnet	5.137579722222223
W2	vgg19	7.1485747222222225
W2	vgg19	7.216951388888889
W2	vgg19	7.021381666666667
W2	vgg19	7.088098611111111
W2	vgg19	7.112415833333333
W2	vgg19	7.12273611111111
W2	vgg19	6.989264722222222
W2	vgg19	7.132688333333333
W2	vgg19	7.10776361111111
W2	vgg19	7.162545555555556
W2	resnet152	7.388372222222222
W2	resnet152	7.518654166666667
W2	resnet152	7.491100555555556
W2	resnet152	7.436171944444444
W2	resnet152	7.5216738888888885
W2	resnet152	7.418230555555556
W2	resnet152	7.330549444444444
W2	resnet152	7.5680661111111105
W2	resnet152	7.5023736111111115
W2	resnet152	7.492404166666667
W2F	vgg	5.932653611111111
W2F	vgg	6.020481388888888
W2F	vgg	6.012978888888889
W2F	vgg	5.943817500000001
W2F	vgg	5.9535808333333335
W2F	vgg	5.875505277777777
W2F	vgg	5.855763055555555
W2F	vgg	5.8806361111111105
