Sympecma paedisca	19
Indolestes peregrinus	31
Indolestes boninensis	14
Lestes sponsa	34
Lestes dryas	13
Lestes temporalis	23
Lestes japonicus	24
Psolodesmus kuroiwae	15
Mnais costalis	26
Mnais pruinosa	64
Calopteryx japonica	19
Calopteryx cornelia	19
Atrocalopteryx atrata	21
Matrona japonica	21
Rhipidolestes aculeatus	14
Rhipidolestes okinawanus	12
Rhipidolestes shozoi	14
Rhipidolestes amamiensis	11
Rhipidolestes asatoi	11
Rhipidolestes yakusimensis	15
Rhipidolestes hiraoi	14
Rhinocypha ogasawarensis	23
Rhinocypha uenoi	13
Bayadera ishigakiana	15
Euphaea yayeyamana	17
Coeliccia flavicauda	19
Coeliccia ryukyuensis	32
Platycnemis foliacea	22
Platycnemis echigoana	15
Pseudocopera annulata	26
Pseudocopera tokyoensis	23
Nehalennia speciosa	14
Ceriagrion melanurum	18
Ceriagrion nipponicum	19
Ceriagrion auranticum	15
Coenagrion lanceolatum	26
Coenagrion hylas	14
Coenagrion terue	18
Coenagrion ecornutum	22
Pseudagrion pilidorsum	21
Pseudagrion microcephalum	13
Erythromma humerale	12
Paracercion plagiosum	18
Paracercion calamorum	31
Paracercion hieroglyphicum	15
Paracercion sieboldii	19
Paracercion melanotum	14
Agriocnemis pygmaea	20
Agriocnemis femina	20
Mortonagrion selenion	19
Mortonagrion hirosei	14
Aciagrion migratum	25
Enallagma circulatum	20
Ischnura senegalensis	32
Ischnura elegans	25
Ischnura aurora	19
Ischnura asiatica	16
Ischnura ezoin	14
Epiophlebia superstes	25
Sarasaeschna pryeri	16
Sarasaeschna kunigamiensis	12
Boyeria maclachlani	19
Planaeschna ishigakiana	17
Planaeschna risi	12
Planaeschna milnei	29
Aeschnophlebia longistigma	18
Aeschnophlebia anisoptera	22
Gynacantha japonica	19
Gynacantha ryukyuensis	18
Anaciaeschna jaspidea	18
Anaciaeschna martini	20
Polycanthagyna melanictera	24
Aeshna mixta	19
Aeshna crenata	32
Aeshna juncea	24
Aeshna subarctica	18
Anax ephippiger	11
Anax junius	10
Anax parthenope	26
Anax nigrofasciatus	22
Anax guttatus	21
Anax panybeus	17
Sinictinogomphus clavatus	18
Ictinogomphus pertinax	18
Sieboldius albardae	21
Melligomphus viridicostus	20
Nihonogomphus viridis	18
Leptogomphus yayeyamensis	16
Davidius fujiama	16
Davidius nanus	30
Davidius moiwanus	41
Lanthus fujiacus	15
Sinogomphus flavolimbatus	18
Stylogomphus suzukii	18
Stylogomphus shirozui	12
Stylogomphus ryukyuanus	34
Trigomphus citimus	20
Trigomphus ogumai	16
Trigomphus melampus	20
Trigomphus interruptus	15
Anisogomphus maacki	18
Stylurus annulatus	14
Stylurus nagoyanus	17
Stylurus oculatus	14
Shaogomphus postocularis	18
Asiagomphus pryeri	14
Asiagomphus yayeyamensis	14
Asiagomphus melaenops	21
Asiagomphus amamiensis	25
Tanypteryx pryeri	29
Anotogaster sieboldii	31
Anotogaster klossi	13
Chlorogomphus okinawensis	12
Chlorogomphus iriomotensis	15
Chlorogomphus brunneus	51
Macromidia ishidai	14
Hemicordulia ogasawarensis	11
Hemicordulia mindana	17
Hemicordulia okinawensis	19
Cordulia amurensis	16
Epitheca marginata	16
Epitheca bimaculata	19
Somatochlora arctica	15
Somatochlora alpestris	13
Somatochlora uchidai	20
Somatochlora graeseri	26
Somatochlora viridiaenea	24
Somatochlora clavata	16
Somatochlora exuberata	17
Epophthalmia elegans	26
Macromia daimoji	16
Macromia urania	11
Macromia amphigena	26
Macromia kubokaiya	12
Macromia clio	13
Macrodiplax cora	13
Rhyothemis fuliginosa	16
Rhyothemis severini	11
Rhyothemis regia	10
Rhyothemis variegata	23
Rhyothemis phyllis	13
Leucorrhinia dubia	18
Leucorrhinia intermedia	12
Sympetrum fonscolombii	16
Sympetrum darwinianum	25
Sympetrum maculatum	32
Sympetrum gracile	21
Sympetrum risi	41
Sympetrum infuscatum	22
Sympetrum flaveolum	14
Sympetrum danae	18
Sympetrum frequens	32
Sympetrum depressiusculum	16
Sympetrum striolatum	20
Sympetrum vulgatum	12
Sympetrum baccha	18
Sympetrum parvulum	16
Sympetrum eroticum	38
Sympetrum kunckeli	28
Sympetrum pedemontanum	24
Sympetrum cordulegaster	24
Sympetrum speciosum	23
Sympetrum croceolum	22
Sympetrum uniforme	17
Hydrobasileus croceus	15
Tramea loewii	10
Tramea basilaris	10
Tramea virginia	16
Tramea transmarina	29
Brachydiplax chalybea	22
Pseudothemis zonata	25
Brachythemis contaminata	15
Deielia phaon	36
Tholymis tillarga	20
Zyxomma petiolatum	17
Zyxomma obtusum	19
Nannophya pygmaea	18
Acisoma panorpoides	15
Crocothemis servilia	36
Diplacodes trivialis	21
Diplacodes bipunctatus	13
Neurothemis ramburii	15
Neurothemis terminata	13
Neurothemis fluctuans	10
Pantala flavescens	16
Trithemis aurora	18
Lathrecista asiatica	12
Agrionoptera sanguinolenta	6
Agrionoptera insignis	12
Boninthemis insularis	15
Lyriothemis flava	14
Lyriothemis elegantissima	18
Lyriothemis pachygastra	27
Orthetrum sabina	31
Orthetrum poecilops	12
Orthetrum albistylum	29
Orthetrum japonicum	23
Orthetrum internum	14
Orthetrum luzonicum	23
Orthetrum glaucum	20
Orthetrum pruinosum	18
Orthetrum melania	46
Libellula quadrimaculata	17
Libellula angelina	24
#4005
