model	feature_type	data_type	disease	cv_mean	cv_var	cv_1	cv_2	cv_3	cv_4	cv_5	cv_6	cv_7	cv_8	cv_9	cv_10
dc	category	randomize	cucumber__aburamushirui__hompohasseimenseki	240.75913654536325	393.82277986598297	232.34186891254555	196.82857047499706	256.5769083579064	232.1166381078026	259.7934016575139	254.60458850839822	255.37273245149487	230.33638575989698	232.36518864019052	257.25508258288687
dc	category	shuffle	cucumber__aburamushirui__hompohasseimenseki	66.88500074056574	88.95856900301825	65.86572721304498	73.20268099273648	56.7416054862802	56.047537718296105	74.89688312045433	56.35942029071416	58.69501828735518	75.97840314383542	81.23543929674156	69.82729185619914
dc	category	randomize	cucumber__aburamushirui__hompokiseichuusuuPeryo	235.1422662737319	195.18477402662367	229.9325222769334	237.37525170021115	231.17671681803836	265.78610537444257	232.17761755807558	240.91891902950894	215.6163843862289	246.17678556322588	220.55507192451026	231.70728810614392
dc	category	shuffle	cucumber__aburamushirui__hompokiseichuusuuPeryo	72.14978804668172	131.75077265984976	73.35250327150868	88.38891189866308	73.44533111164881	56.90928783562825	68.83134214308018	92.38710655693987	72.17292932607506	65.65914763961042	73.13439772378206	57.21692295988084
dc	category	randomize	cucumber__aburamushirui__naedokokiseichuusuuPeryo	182.2921732034573	4094.7519592904346	240.92119126140494	218.12670148632083	160.68240011076864	135.1355366921933	329.8773167386453	163.89271693303243	134.28098963214148	119.52053407975328	167.41468015143812	153.06966494887487
dc	category	shuffle	cucumber__aburamushirui__naedokokiseichuusuuPeryo	69.62170370821676	2726.113300205204	18.742089530718253	56.996156249699226	127.72294522853196	43.26398831818929	27.633545713313232	78.57316608564376	189.56926424222746	50.14863333346395	67.11742162302095	36.44982675735943
dc	category	randomize	cucumber__azamiumarui__hasseimenseki	167.33787594961058	152.10990290076563	189.67040288926322	163.53560648404417	161.0056722062937	157.85904670767067	190.0960023481482	158.1099968924312	158.4002155347165	160.88609974492547	166.2437739263757	167.5719427622367
dc	category	shuffle	cucumber__azamiumarui__hasseimenseki	85.54886750991713	279.07620414983063	83.6548346255399	102.3586730742437	77.5384248828807	74.96492049470751	81.68380577314892	65.08849512210587	123.02917521357422	71.40448301326646	88.03034310279239	87.73551979691163
dc	category	randomize	cucumber__betobyo__hompohasseimenseki	195.50404893958907	296.89925029991156	196.4372681207176	167.09305433350147	204.78746562358546	225.81670635603876	201.9591059711975	197.311055527829	210.7776740472143	193.78627111072146	179.53547813371486	177.53641017137062
dc	category	shuffle	cucumber__betobyo__hompohasseimenseki	99.44415254286368	111.42117395899363	106.32036513385499	91.65415050098247	78.72908239115168	99.95966084203278	106.87622033006133	114.42194421174403	91.81307182137678	97.04047228685006	97.3447097089806	110.28184820160202
dc	category	randomize	cucumber__betobyo__hompohatsubyoyoritsu	201.41637449512115	276.8572950808069	208.1545006817605	232.1942916830342	175.45307932026773	187.85368508463858	219.86110953723184	207.80437639933922	190.88543174127935	189.20850374558006	201.22830928729644	201.52045747078344
dc	category	shuffle	cucumber__betobyo__hompohatsubyoyoritsu	98.77293755137725	39.55695753676585	102.40146896287159	90.35719158909397	109.33637637676003	94.96762728655985	95.67177525399067	101.11422386246355	103.80719706810832	101.97392294791115	99.08218792285597	89.01740424315761
dc	category	randomize	cucumber__ekibyo__hompohasseimenseki	216.04536826434622	359.0249092011611	214.7418556492521	223.2972148631244	190.32249162797604	247.17961610679168	201.55510558403606	218.51660319432202	192.53276924272504	204.69993894046976	236.76639800114845	230.84168943361695
dc	category	shuffle	cucumber__ekibyo__hompohasseimenseki	110.2471305310161	322.90006375534836	97.82526438086259	128.3969319776664	103.20725341625422	112.41250764926826	96.55676562118542	108.46153158615998	102.68853231324566	149.07333874293306	86.52356516054519	117.3256144620402
dc	category	randomize	cucumber__ekibyo__hompohatsubyokaburitsu	215.15979975729707	243.82779900142862	229.46610598678276	228.55223951631555	223.79731830089122	201.9823006955008	210.07142445553197	240.47082131834802	210.2780314303856	202.2937139052233	216.0856972695922	188.60034469439938
dc	category	shuffle	cucumber__ekibyo__hompohatsubyokaburitsu	112.23143963130198	511.40790245306613	141.8014048239726	139.0907023741818	122.80653826050597	107.54745489145417	67.837504351074	123.79834653484785	92.14298640330517	94.18306593950675	115.59503983728013	117.51135289689128
dc	category	randomize	cucumber__hadanirui__hasseimenseki	249.58319887522362	323.4504456133533	256.19811394808255	247.20032431947513	263.63462840232955	268.2691250409766	243.39678827985458	269.3917091036235	264.8243742612972	216.24985574223078	235.8688061224324	230.79826353193351
dc	category	shuffle	cucumber__hadanirui__hasseimenseki	127.11322318325179	1118.8040585867434	164.71625119760697	85.76897023558998	95.03069737822474	148.72706211548746	157.46911430408548	148.34482278707273	85.01060906235404	135.75226149836982	158.48992309946937	91.8225201542574
dc	category	randomize	cucumber__hadanirui__kiseichuusuuPeryo	239.868599785021	659.234610629234	230.6550305702668	291.74439913346777	229.62261210871068	233.2435959067064	208.7366593284459	267.9075609735492	257.2674353598627	224.2699707625769	213.3584594943345	241.8802742122888
dc	category	shuffle	cucumber__hadanirui__kiseichuusuuPeryo	115.86566755566255	402.12102062143526	124.80162718836087	91.43152267635647	104.50540825585	135.54701815819038	82.3132372411517	117.36879867994004	112.68792584877986	124.99369385116434	114.46618135591659	150.54126230091518
dc	category	randomize	cucumber__haiirokabibyo__hompohasseimenseki	187.05228608719057	457.38291850743576	177.24325762902382	193.20512481804255	184.059997422479	168.49854355196055	238.47123607375175	198.17003148399536	181.8879599203751	169.54254825626396	194.22964729438337	165.2145144216302
dc	category	shuffle	cucumber__haiirokabibyo__hompohasseimenseki	102.32514512641636	209.9063218662092	114.84898815457113	96.21630769336709	91.95043702311015	104.73857683028756	118.9329552774908	91.62515157836641	124.66557508814134	90.63974515021313	79.93680751265136	109.69690695596455
