model	feature_type	data_type	disease	cv_mean	cv_var	cv_1	cv_2	cv_3	cv_4	cv_5	cv_6	cv_7	cv_8	cv_9	cv_10
dc	category	randomize	eggplant__aburamushirui__hasseimenseki	115.80348629591109	195.70913444494417	99.16850502289331	107.45732442571533	117.61995760730741	97.65534835815825	104.95948803817775	142.666086563794	123.06812211565743	117.27745141514336	129.13913285939086	119.023446552873
dc	category	shuffle	eggplant__aburamushirui__hasseimenseki	28.6720706501059	19.868754408631048	31.863274186477128	23.841459672252405	31.39624605573914	34.536923198480984	34.85672333828623	26.97132399988652	30.15101993032465	24.071537037158595	23.02550906455474	26.006690017898645
dc	category	randomize	eggplant__aburamushirui__hasseiryo	102.66209045717467	1724.515685008426	133.57582116535912	115.25779800082942	116.75190338681612	145.19814048396074	41.870520606600635	59.22139487643898	58.68986283848344	77.30161705941215	111.6	167.15384615384613
dc	category	shuffle	eggplant__aburamushirui__hasseiryo	94.47708939758252	1375.6598697658235	123.03662139412653	61.518372898522216	65.60420140969289	65.87261330349627	123.03662139412653	44.54772721475249	123.03657992645927	137.5590782173245	137.5590782173245	63.0
dc	category	randomize	eggplant__aburamushirui__hompohasseimenseki	131.9425291075324	118.53259520501348	115.05091044757111	143.39680260776345	127.51983482137894	140.17668456694543	127.30051714008184	131.09706056886776	151.70232630396225	123.89027403687744	123.52988919518543	135.76099138669048
dc	category	shuffle	eggplant__aburamushirui__hompohasseimenseki	63.29162810658867	53.693156203676914	76.63290201208098	58.72661434752059	63.77050365449822	70.96158395559551	64.14521994247697	60.97908899766575	64.76964819248646	66.38224210787509	55.1239490303196	51.42452882536751
dc	category	randomize	eggplant__aburamushirui__hompokiseichuusuuPeryo	140.62567458837063	394.7916154277866	136.97404089421332	132.1186140211684	151.70050953719547	177.47181223750167	123.3926237987147	155.43255030702917	142.11445823554413	110.85178241407847	154.97399107332637	121.22636336493481
dc	category	shuffle	eggplant__aburamushirui__hompokiseichuusuuPeryo	55.164442907154296	141.3388747547773	57.37432765092012	45.318776046339885	45.84185102721501	68.9282575318652	78.25487665401245	42.876573244424975	45.60214949113801	46.986293088010136	60.40842236664853	60.05290197096863
dc	category	randomize	eggplant__aburamushirui__hompokiseikaburitsu	204.59928728478206	408.18392332940385	204.2943857988338	189.8358584699014	161.50004841530324	205.24981911675764	233.7864898871898	227.2761404231774	216.1607471788988	206.6204057004473	206.21624229683684	195.0527355604745
dc	category	shuffle	eggplant__aburamushirui__hompokiseikaburitsu	57.6252683171072	105.48126106993692	68.23214016935839	64.4031569850451	45.38629609145914	78.59080677725092	50.97617647699857	49.703052816301344	58.40541952808259	58.46671996901584	49.222802399480734	52.86611195807944
dc	category	randomize	eggplant__aburamushirui__kiseikaburitsu	109.90880585451941	134.08746307337086	129.9532121703592	98.1923636250951	116.92089703977356	98.60979292275147	115.50007299775649	101.23445124343195	103.55497576280209	96.97927399730357	116.95775807906112	121.18526070685948
dc	category	shuffle	eggplant__aburamushirui__kiseikaburitsu	27.250717497100396	21.777293932346993	34.68378241157669	20.636885858527585	24.904302173991052	26.08093740840901	29.720431349311866	27.797232228064082	28.274468116250887	22.254795013201253	34.12944897128891	24.02489144038262
dc	category	randomize	eggplant__aburamushirui__naedokokiseikaburitsu	142.95288734947178	2236.4787798490015	66.9410023538881	179.15231767674504	80.2593796836911	164.3994348124916	79.13323299356497	172.41147886898517	181.80244445786812	181.26225459248622	161.9296098025349	162.23771825246257
dc	category	shuffle	eggplant__aburamushirui__naedokokiseikaburitsu	26.85940489032142	492.9357689858832	5.585756911297596	15.722695320718627	17.60886707868938	26.587647931989533	12.931812263852875	43.38764399387573	32.297489439181994	80.7124525708394	7.442844676844271	26.316838715924828
dc	category	randomize	eggplant__aogarebyo__hompohasseimenseki	145.33404701284718	125.42179646121551	139.73718318337941	159.05211991027014	135.86235263718055	163.54892951549687	125.73237862542952	141.93853696416878	147.6700729658386	152.5625718272316	139.84729901115267	147.3890254883237
dc	category	shuffle	eggplant__aogarebyo__hompohasseimenseki	58.63601078040419	67.43025847637064	59.58654796431573	62.42706419526325	59.849695276000155	48.4394165009494	57.36871894769279	49.55773069736975	47.43636517915261	61.3093064677236	71.29771726097579	69.0875453145988
dc	category	randomize	eggplant__aogarebyo__hompohatsubyokaburitsu	136.79893707429764	399.0378520867939	135.67454206161128	130.5431275982938	127.013719968467	175.80912325182564	131.33151370294803	115.08698590565719	137.19260884313042	152.69474614445048	107.66501954407934	154.9779837225132
dc	category	shuffle	eggplant__aogarebyo__hompohatsubyokaburitsu	50.99822745621965	104.3773405132238	41.600542789380995	53.597248627717015	49.98050165341957	68.53971444714374	41.294975791819034	47.64090504525954	54.67076586549871	57.76202558652182	34.300310409180106	60.59528434625594
dc	category	randomize	eggplant__azamiumarui__hasseimenseki	148.27441632748133	336.1917787041159	170.85038335143727	119.1260480436584	128.08030696634253	167.09105309438968	125.53635991774445	161.80307668729992	162.2458171003923	151.21760810681357	147.8398599417275	148.95365006500745
dc	category	shuffle	eggplant__azamiumarui__hasseimenseki	63.55341801538361	109.61337438897868	63.7765882784433	47.034550063713276	50.5373254898236	62.94703269093254	71.40605041595053	74.77125856769662	58.390974126786254	80.91973719382042	66.55961891778743	59.19104440888218
dc	category	randomize	eggplant__azamiumarui__kiseihanaritsu	136.37834733898472	5011.522286241548	68.05879810869422	221.2799467073662	157.9079702970478	13.856406460551018	220.3277501225128	124.49739696817699	182.34578477777723	70.0	110.87041986030358	194.6390000874172
dc	category	shuffle	eggplant__azamiumarui__kiseihanaritsu	5.653000653784487	126.06604323196188	37.18611972228348	0.816496580927726	4.898979485566356	0.4720054190856909	3.514849451493857	3.9004273270160206	0.4714045207910317	0.375	0.6373774391990981	4.257346591481601
dc	category	randomize	eggplant__azamiumarui__kiseiyoritsu	58.158257152855924	87.34468164229325	68.47942111001923	58.39258072860933	62.167632619028886	72.50288417245324	49.5559417811563	68.67307773353664	47.47738069425727	54.103978395486614	47.545343490045354	52.68433080396641
dc	category	shuffle	eggplant__azamiumarui__kiseiyoritsu	32.59050976933309	246.54033954249837	41.65564163902829	40.10448002632397	36.38596633715911	5.660389088942466	2.725648276543213	41.93316531738754	44.913634293547716	39.30238895764197	28.483457602911923	44.7403261538447
dc	category	randomize	eggplant__azamiumarui__shirobukureshokaritsu	180.64359030806722	371.4265585280675	174.62982800899115	151.43314305039254	201.75309516443147	199.85599734436414	168.14621095262652	187.9864773505442	160.49530843278248	174.76090588140642	211.6839743315155	175.69096256361794
dc	category	shuffle	eggplant__azamiumarui__shirobukureshokaritsu	7.604411205019811	32.065280273253045	0.8750857296822709	11.195602561945167	14.002962228879715	2.600134184571593	16.01529217133841	4.098222863356548	14.498982913224566	4.22200426338013	4.538360937607321	3.997464196212394
dc	category	randomize	eggplant__ekibyo__hompohasseimenseki	183.21514925725333	84.10706046657673	194.70239573672632	180.59643951168172	189.9703740966011	176.21523112725146	187.0738521431519	172.2246306369519	178.0268272331149	198.1701590759457	171.50772740877161	183.66385560233675
dc	category	shuffle	eggplant__ekibyo__hompohasseimenseki	53.25874775933179	23.82886352998156	52.13966872295189	46.42593295189449	54.26649901711587	54.35321029182276	55.46771987983945	50.64863912801382	50.13250221698275	61.48183025041972	47.730161892582444	59.94131324169463
dc	category	randomize	eggplant__ekibyo__hompohasseiryo	34.91864735374252	19.395217937315877	31.043706868077322	34.816126001578425	29.067225720923403	42.23303954997354	30.206431388529115	36.82662532159952	36.611711471843364	32.05377426208097	40.79155345575029	35.53627949706929
dc	category	shuffle	eggplant__ekibyo__hompohasseiryo	5.655322568363756	89.96363410931136	31.505066225864706	2.1661040880842335	5.880923959761648	1.3375704281292116	1.2687442351224205	0.963019941334245	9.329612353504656	1.8489562064187561	1.5315404089306446	0.7216878364870323
dc	category	randomize	eggplant__ekibyo__hompohatsubyodo	184.53047516640774	111.72115814593529	192.34094010039374	191.58032553845328	190.6594107043292	174.64089054688932	173.50257674456057	189.27813940670057	175.188747197817	189.42670224297774	200.21728108938277	168.46973809257318
dc	category	shuffle	eggplant__ekibyo__hompohatsubyodo	44.51934702803633	196.17468342367567	39.05407922135359	35.98469350126473	39.358193455740974	61.33710151361038	75.84313820754988	48.626460114906784	33.94714580708299	31.324199496187365	43.466395664817206	36.252063297849354
dc	category	randomize	eggplant__hadanirui__hompohasseimenseki	135.56768238444792	92.62489137291132	124.25769022302929	122.51069669873782	149.7752542855306	129.91083997612523	135.35189159390782	137.59322166476355	131.96783168577502	134.54030660147336	152.28713224210384	137.48195887303262
dc	category	shuffle	eggplant__hadanirui__hompohasseimenseki	67.14165724242432	54.50198174606555	66.38238868017454	67.46844363188448	69.36853538815674	74.88076234332162	69.20217060013091	60.63539154560422	63.18339454751917	66.5920661423168	53.39313291694652	80.31028662818814
dc	category	randomize	eggplant__hadanirui__homposhokugaiteidoPeryo	72.51828310495003	1559.7542241708413	87.99268658334789	82.38761832108982	114.5560974168447	142.47015495065457	27.877435521654714	102.85426070062286	46.87288455262023	26.219304267807	43.71049704399432	50.2418916908642
dc	category	shuffle	eggplant__hadanirui__homposhokugaiteidoPeryo	11.942167059629629	192.43087547101766	6.300130798268709	31.463011295912715	8.359100288614577	4.718198454569454	9.34293085868908	6.616651994298893	1.5058569620731694	2.781569918332092	43.23421713581066	5.100002889726931
dc	category	randomize	eggplant__hadanirui__kiseiyoritsu	85.77739681983371	967.6369859564713	57.55501765711398	105.29777434328209	116.16160546746617	61.64634407704074	51.502632059357865	116.2223584049333	107.02000998719681	54.03011623351936	128.25749679462405	60.080613173802696
dc	category	shuffle	eggplant__hadanirui__kiseiyoritsu	10.15008174690934	42.53979430523421	17.006373718390716	18.40604268731895	18.491488205507466	5.349739837829191	2.8540906315906183	4.855714664711863	15.08940888114653	4.9233680052168465	3.6978700820931354	10.826720755288077
dc	category	randomize	eggplant__haiirokabibyo__hompohasseimenseki	128.14278094840898	155.07233688658968	117.53949160839126	105.5245294220872	146.65024006987332	131.77387625996525	130.99591232886243	121.36210538712402	146.62130484328378	128.17694104546197	129.05793920987358	123.72546930916678
dc	category	shuffle	eggplant__haiirokabibyo__hompohasseimenseki	62.17836526177372	124.17553664256262	50.1424106506363	52.40300674719987	55.591950672822996	74.55435236239381	74.51053972849469	49.135311464719194	73.53161718312381	53.887185780202714	63.211640302958855	74.81563772518493
dc	category	randomize	eggplant__haiirokabibyo__hompohasseiryo	52.38106264155336	1015.0502099796681	23.594506318376503	78.17945879691018	35.29323248093277	12.010541949214117	85.94689624314076	90.98214733554516	14.390868891002256	42.693974775062394	91.79783132914794	48.92116829620158
dc	category	shuffle	eggplant__haiirokabibyo__hompohasseiryo	56.84965175611055	738.6848785444864	77.87939393703574	26.16653347370398	87.30502360528033	62.36775553875062	43.659117950857805	87.01950073310502	33.63385301140056	29.258758401690663	29.831057227470865	91.3755236818099
dc	category	randomize	eggplant__haiirokabibyo__hompohatsubyodo	136.1506328047653	74.65984847327917	124.35932420640401	129.08760891930024	137.80973537491863	134.6372864225271	141.0851082993231	144.28265677476102	121.01619179772146	144.32498161483963	144.92326090052475	139.98017373733313
dc	category	shuffle	eggplant__haiirokabibyo__hompohatsubyodo	24.96217050327819	11.956685185342034	19.454008947273945	24.40565974220007	31.932951451848137	23.58243959313528	23.99561742000825	27.637279353129507	28.27785641413205	23.738456620048584	23.71665505719907	22.880780433807033
dc	category	randomize	eggplant__haiirokabibyo__hompohatsubyokaburitsu	206.324708214172	198.34936620862496	202.35908160962458	202.4561603310443	236.28852367013687	192.72342994174693	197.66866638261203	195.50341248229114	212.3386366878687	218.00242439705045	214.87670634951243	191.03004028983278
dc	category	shuffle	eggplant__haiirokabibyo__hompohatsubyokaburitsu	55.40429289141825	52.44642727824888	60.38905792239556	58.46304553007647	62.367854145109064	68.84159722564641	46.39990370325038	54.377030605106114	55.19292670519485	51.17660976349757	46.06399795460281	50.770905359303256
dc	category	randomize	eggplant__haiirokabibyo__hompohatsubyokaritsu	100.63468787182029	116.71445279101249	116.36731236439161	85.5462613548485	115.756924713584	106.73994553432752	96.5372381650065	97.98243686501951	104.00685177545542	95.03707544722177	103.11975468231334	85.25307781603473
dc	category	shuffle	eggplant__haiirokabibyo__hompohatsubyokaritsu	56.757026570118455	97.37585757772692	53.57270444280294	72.59704547403788	58.257291579264006	50.5501251308819	75.7496938810093	46.966900957367436	47.68791811676289	57.0042760120551	53.29573529686414	51.88857481013896
dc	category	randomize	eggplant__haiirokabibyo__hompohatsubyoyoritsu	53.94756708593127	898.601513559793	64.03304843998143	31.507908520238658	73.8611198166947	61.26915915814072	87.63455593268284	54.646365923471755	6.324555320336759	4.8557710403904	84.49387478411117	70.8493119232643
dc	category	shuffle	eggplant__haiirokabibyo__hompohatsubyoyoritsu	30.991990443766394	976.0357163925639	21.343446294460456	2.0652617564001328	28.93877121335394	12.24744871391589	23.409795354050367	8.74642784226795	2.1213203435596424	96.87362902255701	71.4177848998413	42.75601899725731
dc	category	randomize	eggplant__hakabibyo__hompohasseimenseki	162.1621899855735	279.42365504881866	174.63664974715616	154.01434501360808	193.71280987439448	148.1620350874767	137.1024348265689	144.35967277770675	168.44768048590672	169.20156694584924	170.3538867950792	161.63081830198863
dc	category	shuffle	eggplant__hakabibyo__hompohasseimenseki	53.35591107730285	16.555071051689925	49.76013834942601	51.80093623399657	51.20464248381201	52.65002934727188	57.2418442918789	48.10725698185222	59.56735812971787	59.47989692859201	53.515560688948554	50.23144733753249
dc	category	randomize	eggplant__hakabibyo__hompohatsubyokaburitsu	158.84237993288136	89.24079265922202	152.74537832105807	170.75794575119434	143.98712344603408	147.90398075362813	151.95953721371336	170.28134016173425	163.5767511031902	158.20859991907662	161.45250609695773	167.55063656222686
dc	category	shuffle	eggplant__hakabibyo__hompohatsubyokaburitsu	45.59119107636657	11.347076097990604	46.36953498790117	51.51328649399424	42.893461755210986	45.80557577819366	43.65592858521778	43.841687442613555	47.3354035597325	43.60003071590545	40.69091596258109	50.206085482315295
dc	category	randomize	eggplant__hamoguribaerui__hasseimenseki	65.09003978181266	2753.258720378304	45.92022067310507	58.499998365805595	19.25	132.9355247535308	41.1470128522918	147.85804002488334	7.121754541902018	56.40939638039038	12.837932076467768	128.92051814974994
dc	category	shuffle	eggplant__hamoguribaerui__hasseimenseki	5.806254448968726	27.15368343596818	5.204164998665331	3.926406329796582	2.165063509461097	7.049696791498979	4.9413223601245315	6.164414002968976	3.0	5.2900325560855075	0.7071067811865476	19.614337159899712
dc	category	randomize	eggplant__hamoguribaerui__yochuukiseikaburitsu	34.829337278804054	88.4081461601308	33.337074619973585	22.133454478741772	45.05865679404273	39.33819486463329	30.551135835291724	37.33630940518894	29.879096650780234	19.760741752286293	43.78091716128149	47.117791225820426
dc	category	shuffle	eggplant__hamoguribaerui__yochuukiseikaburitsu	4.654806668553689	4.417471688172898	2.9558111793365853	5.551369951042115	6.467869303977419	2.3179053443109408	9.0	3.235643329401745	5.598919128560731	5.284253337353662	2.8431203515386634	3.293174760015023
dc	category	randomize	eggplant__hanshinichobyo__hompohasseimenseki	166.9830212139305	435.48088481299715	194.01570008854233	159.14851045965156	198.65782679827703	151.37501903779497	185.68057079989296	134.39930925352144	167.62192537250462	166.34887647605603	167.23527983755008	145.34719401551402
dc	category	shuffle	eggplant__hanshinichobyo__hompohasseimenseki	66.19866913263756	915.8641505846676	22.859679448080637	38.679524225154054	30.548253263839594	75.43519783196496	92.67171912557073	103.87600011655655	37.82544838268906	88.1521100077249	91.5273258477598	80.4114330770353
dc	category	randomize	eggplant__hantensaikimbyo__hasseimenseki	145.41252938553447	14844.596271033586	225.85008301968807	260.1177275813636	0.7071067811865476	130.411362093182	130.411362093182	331.794318953409	1.0	266.0	0.5	107.33333333333331
dc	category	shuffle	eggplant__hantensaikimbyo__hasseimenseki	48.31448316683223	15215.34355087793	0.5	18.54370134460295	37.062115943795185	26.205681046590996	397.33333333333326	0.5	1.0	0.5	1.0	0.5
dc	category	randomize	eggplant__hasumonyoto__hasseimenseki	170.41965386136675	1778.88308906437	94.15660485748707	167.28381073293772	177.7519825252778	134.82957902378922	174.89831179881529	223.0396630851453	180.80138155966924	155.38766989602857	243.94220846501983	152.10532666949757
dc	category	shuffle	eggplant__hasumonyoto__hasseimenseki	8.025128640267594	60.108638483764565	6.135031005804038	2.5248762345905194	4.999237210333713	5.906462248782792	8.352755145370809	0.9354143466934853	11.114929899314106	6.340346993658944	28.604894686049803	5.337338632077729
dc	category	randomize	eggplant__hasumonyoto__higaikaburitsu	223.5589498662727	45761.1145030499	5.08811250749125	169.70971948856933	5.0	481.25	1.6666666666666714	481.25	362.625	240.0	9.0	480.0
dc	category	shuffle	eggplant__hasumonyoto__higaikaburitsu	2.7949747468305834	7.097906849532574	3.5355339059327378	1.4142135623730951	5.0	0.0	1.0	1.0	2.5	0.0	5.5	8.0
dc	category	randomize	eggplant__hasumonyoto__higaikaritsu	43.03284017470936	580.0469514761312	31.713704499312584	41.481254132974875	53.79037928503681	32.20121067211604	53.903537092979676	21.58466499038471	76.18918066234865	19.96246477767713	85.50568532104882	13.99632031321424
dc	category	shuffle	eggplant__hasumonyoto__higaikaritsu	11.245480696257783	284.5515942178683	6.774953874381729	7.513168711112017	5.1166279128296095	59.07085037833161	5.034606569892957	3.7020264720825504	6.5997971548531	3.7379770329910977	7.349475688741925	7.55532316736123
dc	category	randomize	eggplant__hasumonyoto__hompohasseimenseki	140.16977503098752	2932.8369385791757	160.84915652197162	133.44667464369377	90.7036850169112	161.91914573846927	216.6310283442491	66.29671052428556	69.25134479700124	211.20449580057877	173.65075992960047	117.7447489931141
dc	category	shuffle	eggplant__hasumonyoto__hompohasseimenseki	17.8707406170587	438.4735731971136	4.410892586462156	5.794729571711642	3.0679882624758426	56.677482665578104	12.276167157153829	56.40640532510608	4.410501426486967	14.798264851135874	16.621583190871537	4.24339113360496
dc	category	randomize	eggplant__hasumonyoto__kiseikaburitsu	144.18273458245795	2480.3334947324247	249.58065758865095	156.26188637823893	163.73576349384876	146.31639275940157	141.0496536004361	164.49701685649956	158.87094998771803	85.07845566681908	76.26180273720877	100.17476675575743
