model	feature_type	data_type	disease	cv_mean	cv_var	cv_1	cv_2	cv_3	cv_4	cv_5	cv_6	cv_7	cv_8	cv_9	cv_10
dc	category	randomize	strawberry__aburamushirui__hompohasseimenseki	204.05250077299047	2545.622168223445	162.28664270936667	219.94905423354422	223.47589444123793	284.8902424082795	265.5992277234061	213.11510781088037	151.46471421075722	154.55762692138498	137.89897480946067	227.2875224615871
dc	category	shuffle	strawberry__aburamushirui__hompohasseimenseki	145.51337245108206	4886.084634225543	187.09147294109212	276.4602355527495	168.00092778868776	171.63523302608633	83.67624319141513	198.1872734858229	83.83332126904543	76.51449660717401	52.699052967431655	157.03546768131574
dc	category	randomize	strawberry__aburamushirui__hompokiseikaburitsu	185.01905204319195	4176.09101791438	149.12578883900707	150.54813412701964	291.41285835136625	151.42609565020416	233.98193119828306	136.40900133110736	145.84429328646215	144.15022628703434	300.1666801262291	147.12551123520632
dc	category	shuffle	strawberry__aburamushirui__hompokiseikaburitsu	112.90367263708788	6014.014384829634	238.74987119299314	49.22260852129939	65.63702654981783	67.96012495988353	60.64280283593545	98.12992784315152	80.89950974896635	184.37386724641362	239.78736268214243	43.6336247902755
dc	category	randomize	strawberry__aburamushirui__naedokohasseimenseki	192.35020549353536	26900.267246829197	162.1787807167371	116.68619270755758	106.7643772147679	103.71081945211199	192.26405514987346	172.5162352952721	651.6880221690491	155.56608101155845	126.85559937750327	135.27189184092245
dc	category	shuffle	strawberry__aburamushirui__naedokohasseimenseki	99.30675069280561	41876.86407146044	87.92177371643687	23.038995487959344	33.72353792577029	676.6427411205348	7.389111598900691	66.06263470149904	56.34080010234892	6.382736827149715	17.645410671003727	17.919764776452812
dc	category	randomize	strawberry__aburamushirui__naedokokiseikaburitsu	184.07185498923565	5659.046504325222	189.61134982641622	163.6289557269438	149.85730965441908	134.78805016811955	155.1513234458112	156.13119401882972	391.60052992049464	175.2580727738564	186.59814733589366	138.09361702157213
dc	category	shuffle	strawberry__aburamushirui__naedokokiseikaburitsu	99.232076875776	19278.27041710407	23.23428179469066	33.092201245562514	371.19803407239607	30.941250346249788	25.529061476325197	36.59316738068568	37.95635096635194	53.43570849265069	352.92452092813977	27.416192054707754
dc	category	randomize	strawberry__azamiumarui__chuusuuPerhana	45.806068231333924	2520.6507007657947	17.08800749063506	50.98079703836207	6.0	33.89377915349839	86.20397322629624	9.6875	15.608491278787966	1.5625	75.34374927992073	161.6918848458388
dc	category	shuffle	strawberry__azamiumarui__chuusuuPerhana	21.692965790975848	1189.9032174737265	4.43471156521669	107.18260373874898	5.153882032022076	10.0	4.123105625617661	6.0	59.904710953844585	7.0710678118654755	7.905694150420948	5.153882032022076
dc	category	randomize	strawberry__azamiumarui__hompohasseimenseki	183.85658184638345	2060.069324187706	207.7470992613338	175.4115780009502	123.1915854328003	165.42936378685573	208.65538086532408	186.6330452174227	186.92628999784714	172.3502510533875	283.9686664650505	128.25255838286247
dc	category	shuffle	strawberry__azamiumarui__hompohasseimenseki	15.071961511022437	19.327848150063	12.837858100810275	15.019209893183936	16.977950440831744	16.364097707559587	12.15279385171171	18.23609237973466	6.648222592269579	23.562251266386287	15.27572611346119	13.64541276427541
dc	category	randomize	strawberry__azamiumarui__kiseihanaritsu	116.56906479466417	1070.7376130434689	75.37642837264396	81.52754949496493	131.56658028025123	167.26168960493095	144.75623105284498	158.0387299761861	117.24113654554493	108.16542998965376	88.44012410012077	93.31674852950023
dc	category	shuffle	strawberry__azamiumarui__kiseihanaritsu	15.066485655087636	27.7448165674071	9.415264772899478	15.943818570872258	10.51772313763773	13.667764457391714	15.493046566823732	13.719121171353715	17.708817091660197	7.861268433604183	22.131408432865637	24.206623915767704
dc	category	randomize	strawberry__hadanirui__hompohasseimenseki	189.4679339108304	4092.268454272342	318.22185786080837	150.20433629851675	223.2181631701746	138.8499861424508	213.2156051023974	145.17607077699776	137.9905772164711	151.59392878024175	270.1738947703194	146.03491898992584
dc	category	shuffle	strawberry__hadanirui__hompohasseimenseki	146.36755334437802	3392.517598915498	87.95919402113782	238.18745337849816	117.99080834364024	153.29387648623407	196.43979529107187	116.20133233988939	52.93684848359458	213.17018129322446	168.38714115669742	119.10890264979197
dc	category	randomize	strawberry__hadanirui__hompokiseikaburitsu	169.3881500860495	939.8547377105016	151.3969292039908	222.60656234735094	153.19141030237063	155.26397375519326	147.9652243598197	140.11540611650653	226.4959264139569	153.5375222669981	170.57352372277964	172.73502237152871
dc	category	shuffle	strawberry__hadanirui__hompokiseikaburitsu	78.3002873375233	2488.547976053692	69.56314860640634	169.23729751466533	68.63527946379203	44.09028601168504	170.0387843293927	43.10442111171625	72.52773785637508	48.52058033283576	63.6978186049584	33.58751954340603
dc	category	randomize	strawberry__hadanirui__honpoheikinhasseiteido	95.37657261140824	547.5441798917083	99.74284587506477	121.75366519049999	89.3036103273875	81.0249066707349	86.92702239464151	93.27182670977656	118.47048980570082	95.4249024706016	44.56133885943804	123.28511781023673
dc	category	shuffle	strawberry__hadanirui__honpoheikinhasseiteido	44.36924893181215	874.0579070856461	29.955614305752764	17.136653319744518	19.601271902125415	61.41259690056301	34.914442258454606	73.9064644617797	52.196203701400655	3.3827488290190715	49.51303717318828	101.67345646609337
dc	category	randomize	strawberry__hadanirui__naedokokiseikaburitsu	193.44724546545325	7224.98184119204	155.3713512939569	157.4721914411238	144.65821793897558	185.45371184393414	169.33058712495952	187.06678897253943	184.76732956735142	161.02067890909564	431.77352083055223	157.55807673204382
dc	category	shuffle	strawberry__hadanirui__naedokokiseikaburitsu	71.34619907224051	14236.419275395216	25.556246059741447	31.44772074031456	37.41992781810475	30.176703460340487	42.836199689970876	24.569137358655798	31.84208196023173	45.072411787524544	410.39970787253117	34.14185397498975
dc	category	randomize	strawberry__haiirokabibyo__hasseimenseki	204.51685761034003	5279.318590274555	291.9586244678758	148.27263648167892	338.65804526004985	130.23952754320572	136.19285197674034	227.9206016505471	140.25688110855896	231.72474932406874	160.815031520352	239.129626770323
dc	category	shuffle	strawberry__haiirokabibyo__hasseimenseki	155.7495675454893	6557.205871868444	196.12508115776117	70.38261594676707	187.98393005784553	186.12380621069354	309.2799306484467	86.57889558840591	200.50092578529717	65.64839741655462	63.97292444591182	190.8991681972097
dc	category	randomize	strawberry__haiirokabibyo__hatsubyokaritsu	230.26818702390656	5601.700649642738	351.70341243084204	252.5983554704695	243.0345010953152	315.46465341415455	241.39919366534195	132.496568556509	247.2373917406358	137.11449968064866	245.5301679402056	136.10312624494338
dc	category	shuffle	strawberry__haiirokabibyo__hatsubyokaritsu	167.1139506065103	8430.38031120431	109.21050462466404	208.25647581659402	105.20526080495358	205.05197232476743	106.71255423624622	274.8832257391483	38.38100425731627	323.1384554256136	216.4901146946228	83.80993814117662
dc	category	randomize	strawberry__hasumonyoto__higaikaburitsu	79.83043992352937	545.6715365195978	98.30242844414643	82.04210630299939	59.316030008210404	135.35217697837868	82.37231683639169	65.71589114455186	54.54968920617755	78.17690608047155	65.48272662868808	76.99412760527811
dc	category	shuffle	strawberry__hasumonyoto__higaikaburitsu	6.7331966360782545	8.63832257103521	3.045459322533646	6.207499944064077	6.5991052704058255	5.241084526497249	12.301543436501735	5.39508308440225	11.725960557344498	5.787795040304332	5.645425518425924	5.383009660303001
dc	category	randomize	strawberry__hasumonyoto__hompohasseimenseki	188.41012904839482	2024.7083942168274	197.65830013414808	188.14630144875247	181.39407172023922	115.35491840705211	274.2575059819814	143.8819648030843	206.4623095501515	227.67409191583616	150.64674036210062	198.62508616060214
dc	category	shuffle	strawberry__hasumonyoto__hompohasseimenseki	12.397410435928602	8.665840305877861	15.788889795418434	15.463049535266386	11.634141259602687	11.003401782284955	7.6907983642929185	8.629687592057312	11.65509630338891	15.141190487287618	11.511853443223787	15.455995796463021
dc	category	randomize	strawberry__hasumonyoto__hompokiseikaburitsu	157.7839935901885	1596.7059434875684	145.49948553264954	164.01307547775576	127.5799212127277	93.42728326168144	110.38502424900466	183.200090110383	201.10013071298297	189.1051299771465	215.13001150410452	148.39978386344882
dc	category	shuffle	strawberry__hasumonyoto__hompokiseikaburitsu	8.291358267789153	5.266091133016604	11.993634675413153	6.221192495361899	8.361841281104875	7.194452614550019	8.339665859134083	5.888475129667332	11.968539824806475	9.37364179618502	5.5224948049221725	8.049644196746517
dc	category	randomize	strawberry__hasumonyoto__naedokokiseikaburitsu	175.40181131116222	5076.135449602692	242.12823813012807	88.77556668177016	286.5853112512921	89.57980421006764	186.91870222016152	169.31468173565804	81.66419994025819	160.9071291896626	217.09511874458698	231.04936100803704
dc	category	shuffle	strawberry__hasumonyoto__naedokokiseikaburitsu	7.669475604269904	4.148910713344189	8.050075714442967	4.443315828922766	8.147564820239236	9.75727994034811	7.084321996313266	11.597413504743201	8.188255043729221	7.572575519597014	6.123840116248642	5.730113558114618
dc	category	randomize	strawberry__iobyo__hompohasseimenseki	283.6172872064899	10328.373189483533	432.453636959788	165.49116142238788	313.2735084560374	412.6478184382019	348.992031857802	160.82955381655924	308.4299504365282	311.6882998226418	163.9934993210582	218.3734115338941
dc	category	shuffle	strawberry__iobyo__hompohasseimenseki	209.42812992373956	16313.18097572111	124.30288252070704	435.0576349484381	263.1475623684847	260.5274371290099	64.67507054648833	67.79864542223864	122.5599705090501	266.7927161780966	124.65132485895217	364.76805475592994
dc	category	randomize	strawberry__konajiramirui__hompohasseimenseki	189.65990296562705	968.5558202205377	187.08215803854026	147.94213598935966	174.23836546957708	233.38014955121065	157.03968897663827	159.1079905754767	220.4541637939845	181.5061374275687	207.6600630240392	228.18817680987584
dc	category	shuffle	strawberry__konajiramirui__hompohasseimenseki	8.578969583884415	80.8609595619576	7.16257734370425	4.752989489879932	5.612036127373867	33.26680161814849	3.9678464632033754	6.010080074341773	2.867929755557708	5.1477913457336575	5.295375133740427	11.706268487160676
dc	category	randomize	strawberry__konajiramirui__hompokiseikaburitsu	145.96351530573057	1904.2760589994484	183.7981091991292	97.60445841677246	101.57830087067042	174.833522119751	233.9425661847135	127.48710951084765	101.93411552192389	127.16880012560402	154.2373358445473	157.05083526334613
dc	category	shuffle	strawberry__konajiramirui__hompokiseikaburitsu	6.743284443764327	3.184614593000288	9.22503915964635	4.357351850782209	5.82380810795548	10.308644443016028	5.423016115874299	6.175207020964681	5.974139133596903	7.264177317089918	6.705975776209686	6.175485512507722
dc	category	randomize	strawberry__konajiramirui__naedokokiseikaburitsu	212.5321512289112	3413.0395930220834	111.22050170719426	312.3537880175121	180.00308639329248	164.4947237313015	193.9511858690222	193.9511858690222	208.72838585707504	278.6167913214313	255.66579747787932	226.33606604538176
dc	category	shuffle	strawberry__konajiramirui__naedokokiseikaburitsu	14.331888847970031	98.21173423873819	41.23105625617661	7.8694008117392595	15.18634254848744	11.345309576327832	9.710945841461712	7.6537572472609785	16.492422502470642	13.363382805263042	8.860022573334675	11.60624831717812
dc	category	randomize	strawberry__mozaikubyo__hatsubyoritsu	4.011666666666656	31.355990740740836	0.5	12.0	0.6666666666666288	0.25	12.199999999999989	0.6666666666666288	12.166666666666686	0.6666666666666288	0.25	0.75
dc	category	shuffle	strawberry__mozaikubyo__hatsubyoritsu	5.359999999999997	43.31377777777781	1.0	0.0	0.19999999999998863	13.0	13.0	0.19999999999998863	0.0	13.0	13.0	0.19999999999998863
dc	category	randomize	strawberry__mozaikubyo__hompohasseimenseki	25.77746552118514	4936.809388895544	1.118033988749895	2.6666666666666288	1.476147806176266	8.514693182963201	8.845903006477066	7.963039620647379	0.41666666666662877	0.8888888888888857	225.5	0.3846153846154152
dc	category	shuffle	strawberry__mozaikubyo__hompohasseimenseki	19.503219316308027	2288.512694568576	8.845903006477066	5.5	9.20300562316464	0.625	8.845903006477066	155.2497191902194	0.7071067811865476	0.5555555555555429	0.5	5.0
dc	category	randomize	strawberry__shiroichimojiyoto__hompohasseimenseki	126.28591104518969	9888.90484437428	67.19046540972394	95.57477196957903	238.69455293324143	51.959465076926385	63.047601064592456	53.368871025700194	276.0350034492939	289.7772374892448	69.79997877533373	57.41116325826073
dc	category	shuffle	strawberry__shiroichimojiyoto__hompohasseimenseki	48.74688510497635	4887.051057054684	240.39164008966702	10.717774696477058	29.37792538624877	20.86316382858247	76.20821315121283	19.74958020737018	26.153393661244042	7.3157398104767735	29.46058257954052	27.23083763894382
dc	category	randomize	strawberry__shiroichimojiyoto__hompokiseikaburitsu	62.87105449563577	4335.594334924801	40.63730582851181	37.0	53.07147663908615	53.07147663908615	249.3389218697788	35.19136397989478	40.0	35.0	40.0	45.39999999999998
dc	category	shuffle	strawberry__shiroichimojiyoto__hompokiseikaburitsu	41.51780554205122	12313.601073453692	4.636363636363626	9.93887569094211	9.545454545454561	5.807162861145519	5.903493852746983	9.430038167192683	4.25	2.0	357.25	6.4166666666667425
dc	category	randomize	strawberry__tabakogarui__hompohasseimenseki	131.10268241712976	3296.688944842664	66.01948855244726	92.46780984747164	129.9583233822541	112.72006254434035	106.34995298541509	266.68354113276496	129.33333333333331	138.330838420029	182.16347397324196	87.0
dc	category	shuffle	strawberry__tabakogarui__hompohasseimenseki	4.346115134752111	18.134080138186143	2.598076211353316	12.0	5.303300858899107	4.301162633521313	0.3535533905932738	1.4142135623730951	4.25205832509386	11.510864433221338	0.3535533905932738	1.3743685418725307
dc	category	randomize	strawberry__tansobyo__hompohasseimenseki	223.70524160454798	8928.30176142071	159.58300433303174	147.95251508506803	147.3016620482444	161.2520551990886	164.41249948426238	255.77669455862863	148.50746611940127	336.26878345825327	388.228419912105	327.76931584739646
dc	category	shuffle	strawberry__tansobyo__hompohasseimenseki	167.8264174863403	10094.096768548465	192.54536905294853	97.48347785211817	81.12255790240928	232.72200015446904	185.91541058442334	84.77872876005857	88.83319206321515	67.93510972070933	352.36199694473976	294.5663318283118
dc	category	randomize	strawberry__tansobyo__hompohatsubyokaburitsu	157.76828090177062	1491.669853153581	124.78525704430233	134.7495968319394	205.84522961830106	197.7672825899882	144.97606056347433	147.09147606497794	101.07818793374983	128.0369250794103	212.37572308648382	180.97707020507895
dc	category	shuffle	strawberry__tansobyo__hompohatsubyokaburitsu	14.354694687777558	52.74838094384593	20.82323019320186	9.717558736637272	9.357011937369803	8.896795498642188	12.126356106248293	24.21381675471185	28.25773643259441	8.319344364170743	11.662262386222269	10.172834467976891
dc	category	randomize	strawberry__tansobyo__naedokohatsubyokaburitsu	281.4763448836234	14646.838915367898	396.9990817203171	185.31325338736593	145.18928346736627	403.03862737090117	391.27041319882767	170.5575862936116	186.51107315834426	391.3927886807678	149.26394626531447	395.2273952934176
dc	category	shuffle	strawberry__tansobyo__naedokohatsubyokaburitsu	226.33312685308223	20116.246616837463	22.62620333110544	348.4359665100477	312.90976282365574	85.41133296335805	92.97879649635188	164.19522652702264	287.3806708277546	491.8103663447766	255.48031929326729	202.10262341348232
dc	category	randomize	strawberry__udonkobyo__hompohasseimenseki	210.04131546777595	2007.4083945643226	134.99257483571867	229.01758462022482	158.1445128265952	228.74163333238846	281.5612474331568	220.32030176811446	219.03771358057546	159.9796424553085	239.08288366747334	229.53506015820386
dc	category	shuffle	strawberry__udonkobyo__hompohasseimenseki	142.77583905206697	6066.272821316873	58.62595009922414	159.43424977461314	226.36639553872195	240.76068791401184	68.3383879207515	76.11285417800416	51.865800689712934	177.2458039879669	246.66977741984124	122.3384829978221
dc	category	randomize	strawberry__udonkobyo__ikubyokihatsubyokaburitsu	188.01894092094545	5854.0096261332565	135.05312808274223	152.30753206352333	167.82317819242684	400.3874919181797	195.46537816133264	154.02923363451038	179.96909516707268	162.39039671569236	155.69445097984408	177.06952429413005
dc	category	shuffle	strawberry__udonkobyo__ikubyokihatsubyokaburitsu	133.73543652522716	17903.471289914418	49.25262465406071	359.78377979894	55.338630099418474	181.10024528746916	30.887224166370295	43.38374205469596	35.85188412742139	364.82455700585484	32.620937370907356	184.31074068713363
dc	category	randomize	strawberry__yotoga__hompohasseimenseki	110.21422649784913	615.7865841889562	128.11961945432628	97.22678414735002	73.42396367645192	101.64119839448435	74.98810662416408	111.01058548271895	137.8972228566241	149.5580918422336	109.71211284263904	118.56457965749911
dc	category	shuffle	strawberry__yotoga__hompohasseimenseki	38.649958655035924	576.9818343079332	30.196270463558587	22.5094924411536	53.76009224392232	8.957807403546195	16.202890446305542	58.18552700251824	35.87505741869028	29.694500610109063	39.7780008211588	91.33994769939659
dc	category	randomize	strawberry__yotoga__hompokiseikaburitsu	105.66221568264498	267.30386814652354	115.80178760427526	112.44224217716143	90.36353324121701	100.37733044202095	102.95296919085456	87.22426989463017	86.83290710780953	137.91520384473168	101.65951148990595	121.05240183384318
