model	feature_type	data_type	disease	cv_mean	cv_var	cv_1	cv_2	cv_3	cv_4	cv_5	cv_6	cv_7	cv_8	cv_9	cv_10
dc	category	randomize	tomato__aburamushirui__hasseimenseki	115.80348629591109	195.70913444494417	99.16850502289331	107.45732442571533	117.61995760730741	97.65534835815825	104.95948803817775	142.666086563794	123.06812211565743	117.27745141514336	129.13913285939086	119.023446552873
dc	category	shuffle	tomato__aburamushirui__hasseimenseki	28.6720706501059	19.868754408631048	31.863274186477128	23.841459672252405	31.39624605573914	34.536923198480984	34.85672333828623	26.97132399988652	30.15101993032465	24.071537037158595	23.02550906455474	26.006690017898645
dc	category	randomize	tomato__aburamushirui__hasseiryo	101.05468558853234	1783.7957653793924	133.57582116535912	109.98348670113516	116.75190338681612	145.19814048396074	41.870520606600635	59.22139487643898	58.68986283848344	66.50187967268293	111.6	167.15384615384613
dc	category	shuffle	tomato__aburamushirui__hasseiryo	94.47708939758252	1375.6598697658235	123.03662139412653	61.518372898522216	65.60420140969289	65.87261330349627	123.03662139412653	44.54772721475249	123.03657992645927	137.5590782173245	137.5590782173245	63.0
dc	category	randomize	tomato__aburamushirui__hompohasseimenseki	201.17203619736773	469.6852571149577	225.53178578233442	184.1415210801132	207.83769646180073	204.59118995189522	220.69448466262398	221.51226334851714	166.32118496324395	217.6366224471363	192.92637488604103	170.52723838997125
dc	category	shuffle	tomato__aburamushirui__hompohasseimenseki	51.710624465114996	110.77755005296282	42.58354944120745	54.60725825038789	40.24806205239543	43.12949599386875	57.474159326599214	62.42440204745386	48.56709392697875	51.025726729535194	43.538256990348266	73.50823989237507
dc	category	randomize	tomato__aburamushirui__hompokiseikaburitsu	204.59928728478206	408.18392332940385	204.2943857988338	189.8358584699014	161.50004841530324	205.24981911675764	233.7864898871898	227.2761404231774	216.1607471788988	206.6204057004473	206.21624229683684	195.0527355604745
dc	category	shuffle	tomato__aburamushirui__hompokiseikaburitsu	57.6252683171072	105.48126106993692	68.23214016935839	64.4031569850451	45.38629609145914	78.59080677725092	50.97617647699857	49.703052816301344	58.40541952808259	58.46671996901584	49.222802399480734	52.86611195807944
dc	category	randomize	tomato__aburamushirui__kiseikaburitsu	109.90880585451941	134.08746307337086	129.9532121703592	98.1923636250951	116.92089703977356	98.60979292275147	115.50007299775649	101.23445124343195	103.55497576280209	96.97927399730357	116.95775807906112	121.18526070685948
dc	category	shuffle	tomato__aburamushirui__kiseikaburitsu	27.250717497100396	21.777293932346993	34.68378241157669	20.636885858527585	24.904302173991052	26.08093740840901	29.720431349311866	27.797232228064082	28.274468116250887	22.254795013201253	34.12944897128891	24.02489144038262
