# Program:featureCounts v1.6.0; Command:"/home/jqsun/local/bin/featureCounts" "-T" "1" "-s" "1" "-t" "gene" "-g" "ID" "-a" "/home/jqsun/research/data/genome/IWGSC_RefSeq_v1.1_CS/iwgsc_refseqv1.1_genes_2017July06/IWGSC_v1.1_HC_20170706.ext_1.0k.chrD.gff3" "-o" "20181109.A-TaeRS_1_Tae_RS1_18.chrD.counts.homeolog.txt" "20181109.A-TaeRS_1_Tae_RS1_18.chrD.homeolog.ref.bam" 
Geneid	Chr	Start	End	Strand	Length	20181109.A-TaeRS_1_Tae_RS1_18.chrD.homeolog.ref.bam
TraesCS1D02G000100	chr1D	71507	77965	-	6459	0
TraesCS1D02G000200	chr1D	84681	86607	+	1927	0
TraesCS1D02G000300	chr1D	99355	101422	+	2068	0
TraesCS1D02G000400	chr1D	110463	112058	-	1596	1
TraesCS1D02G000500	chr1D	120980	122198	-	1219	0
TraesCS1D02G000524	chr1D	133936	135199	+	1264	0
TraesCS1D02G000531	chr1D	139831	142447	+	2617	0
TraesCS1D02G000567	chr1D	171830	173854	+	2025	0
TraesCS1D02G000582	chr1D	184195	186110	+	1916	0
TraesCS1D02G000600	chr1D	207450	208668	-	1219	0
TraesCS1D02G000700	chr1D	208668	210213	-	1546	0
TraesCS1D02G000800	chr1D	215466	219484	-	4019	70
TraesCS1D02G000900	chr1D	216924	218245	+	1322	0
TraesCS1D02G000906	chr1D	231648	233202	-	1555	0
TraesCS1D02G001000	chr1D	249463	251359	-	1897	0
TraesCS1D02G001100	chr1D	258657	260544	-	1888	0
TraesCS1D02G001200	chr1D	320910	322893	-	1984	0
TraesCS1D02G001300	chr1D	338837	340811	-	1975	0
TraesCS1D02G001400	chr1D	379936	382175	-	2240	0
TraesCS1D02G001500	chr1D	392359	396787	+	4429	0
TraesCS1D02G001600	chr1D	415385	419153	+	3769	0
TraesCS1D02G001700	chr1D	447129	463242	+	16114	0
TraesCS1D02G001800	chr1D	458727	461352	+	2626	0
TraesCS1D02G001900	chr1D	462242	464905	-	2664	0
TraesCS1D02G002000	chr1D	469277	473378	+	4102	0
TraesCS1D02G002063	chr1D	491093	493185	-	2093	0
TraesCS1D02G002100	chr1D	509821	511750	+	1930	0
TraesCS1D02G002200	chr1D	511104	515096	-	3993	0
TraesCS1D02G002300	chr1D	547169	554637	-	7469	3
TraesCS1D02G002400	chr1D	568769	575727	+	6959	0
TraesCS1D02G002500	chr1D	576240	584788	-	8549	5
TraesCS1D02G002600	chr1D	613482	617337	+	3856	47
TraesCS1D02G002700	chr1D	616505	621178	-	4674	0
TraesCS1D02G002800	chr1D	624154	628216	-	4063	0
TraesCS1D02G002900	chr1D	647396	652241	+	4846	0
TraesCS1D02G003000	chr1D	693529	697208	-	3680	0
TraesCS1D02G003100	chr1D	829734	831595	+	1862	0
TraesCS1D02G003200	chr1D	892853	897135	-	4283	0
TraesCS1D02G003300	chr1D	906800	908265	+	1466	0
TraesCS1D02G003400	chr1D	1025499	1027462	+	1964	0
TraesCS1D02G003500	chr1D	1248500	1258346	+	9847	0
TraesCS1D02G003600	chr1D	1835498	1836833	-	1336	0
TraesCS1D02G003700	chr1D	2066324	2068459	+	2136	38
TraesCS1D02G003800	chr1D	2074711	2076917	+	2207	0
TraesCS1D02G003900	chr1D	2076549	2080837	-	4289	31
TraesCS1D02G004000	chr1D	2080837	2084780	-	3944	19
TraesCS1D02G004100	chr1D	2087759	2095728	+	7970	0
TraesCS1D02G004200	chr1D	2101598	2104387	+	2790	10
TraesCS1D02G004300	chr1D	2108471	2113015	+	4545	0
TraesCS1D02G004400	chr1D	2112601	2116037	-	3437	49
TraesCS1D02G004500	chr1D	2118146	2122106	-	3961	0
TraesCS1D02G004600	chr1D	2123693	2127355	-	3663	0
TraesCS1D02G004700	chr1D	2138321	2145297	-	6977	15
TraesCS1D02G004800	chr1D	2164355	2168632	+	4278	0
TraesCS1D02G004900	chr1D	2217698	2230622	-	12925	0
TraesCS1D02G005000	chr1D	2435388	2448831	-	13444	0
TraesCS1D02G005100	chr1D	2457987	2461044	-	3058	0
TraesCS1D02G005200	chr1D	2467451	2472420	-	4970	0
TraesCS1D02G005300	chr1D	2482275	2490362	+	8088	0
TraesCS1D02G005400	chr1D	2494367	2499785	-	5419	0
TraesCS1D02G005500	chr1D	2505660	2510566	+	4907	0
TraesCS1D02G005600	chr1D	2515670	2517788	-	2119	0
TraesCS1D02G005700	chr1D	2585760	2589065	-	3306	0
TraesCS1D02G005800	chr1D	2671267	2673425	+	2159	0
TraesCS1D02G005900	chr1D	2684225	2688390	+	4166	0
TraesCS1D02G006000	chr1D	2716787	2721977	+	5191	0
TraesCS1D02G006100	chr1D	2771193	2773067	+	1875	0
TraesCS1D02G006300	chr1D	2884245	2888849	-	4605	0
TraesCS1D02G006400	chr1D	3115248	3117541	+	2294	0
TraesCS1D02G006464	chr1D	3148456	3151326	+	2871	0
TraesCS1D02G006500	chr1D	3175880	3182010	+	6131	0
TraesCS1D02G006600	chr1D	3228024	3230285	+	2262	0
TraesCS1D02G006800	chr1D	3424239	3429946	-	5708	0
TraesCS1D02G006900	chr1D	3452151	3453582	+	1432	0
TraesCS1D02G007000	chr1D	3465922	3467534	+	1613	0
TraesCS1D02G007100	chr1D	3470316	3473598	-	3283	0
TraesCS1D02G007153	chr1D	3520304	3522543	+	2240	0
TraesCS1D02G007200	chr1D	3580360	3582585	-	2226	0
TraesCS1D02G007300	chr1D	3614575	3617104	+	2530	0
TraesCS1D02G007400	chr1D	3708621	3710520	-	1900	0
TraesCS1D02G007500	chr1D	3735809	3738114	-	2306	0
TraesCS1D02G007600	chr1D	3801946	3803203	+	1258	0
TraesCS1D02G007626	chr1D	3824395	3826297	-	1903	0
TraesCS1D02G007700	chr1D	3954518	3959741	+	5224	0
TraesCS1D02G007800	chr1D	3961361	3966078	+	4718	5
TraesCS1D02G007900	chr1D	3966078	3970383	+	4306	8
TraesCS1D02G008000	chr1D	3969751	3975703	-	5953	0
TraesCS1D02G008100	chr1D	4080074	4082357	-	2284	0
TraesCS1D02G008200	chr1D	4178395	4188321	-	9927	0
TraesCS1D02G008300	chr1D	4188993	4195729	+	6737	0
TraesCS1D02G008400	chr1D	4233991	4235872	-	1882	0
TraesCS1D02G008472	chr1D	4278561	4280651	-	2091	0
TraesCS1D02G008500	chr1D	4305735	4307737	-	2003	0
TraesCS1D02G008600	chr1D	4341746	4343864	+	2119	0
TraesCS1D02G008700	chr1D	4525134	4527895	+	2762	0
TraesCS1D02G008800	chr1D	4603730	4605927	-	2198	0
TraesCS1D02G008900	chr1D	4635249	4638357	+	3109	0
TraesCS1D02G009000	chr1D	4769129	4775849	+	6721	0
TraesCS1D02G009100	chr1D	4821093	4829103	+	8011	0
TraesCS1D02G009192	chr1D	4865795	4869517	-	3723	0
TraesCS1D02G009300	chr1D	4873061	4880325	-	7265	0
TraesCS1D02G009345	chr1D	4968766	4971382	-	2617	0
TraesCS1D02G009406	chr1D	5129474	5135364	-	5891	0
TraesCS1D02G009400	chr1D	5139131	5141186	+	2056	0
TraesCS1D02G009443	chr1D	5173270	5175049	-	1780	0
TraesCS1D02G009500	chr1D	5243664	5246264	+	2601	0
TraesCS1D02G009600	chr1D	5250762	5253402	+	2641	0
TraesCS1D02G009700	chr1D	5290638	5293109	+	2472	0
TraesCS1D02G009800	chr1D	5342240	5348712	-	6473	0
TraesCS1D02G009900	chr1D	5356764	5358678	+	1915	0
TraesCS1D02G010000	chr1D	5404428	5410957	-	6530	0
TraesCS1D02G010100	chr1D	5421419	5425782	+	4364	0
TraesCS1D02G010200	chr1D	5424921	5430560	-	5640	0
TraesCS1D02G010300	chr1D	5443299	5445210	+	1912	0
TraesCS1D02G010400	chr1D	5445598	5451127	+	5530	0
