gene	length
CARHR105210	486
CARHR262820	1095
CARHR055210	1119
CARHR031240	972
CARHR035620	1633
CARHR125140	216
CARHR267850	2168
CARHR037830	1443
CARHR134640	881
CARHR146680	777
CARHR260080	2797
CARHR130550	1551
CARHR138760	780
CARHR141080	2239
CARHR225250	645
CARHR096780	414
CARHR070710	1632
CARHR086790	1308
CARHR010370	3976
CARHR263190	1602
CARHR184470	819
CARHR141450	1745
CARHR138490	2448
CARHR140970	759
CARHR051770	1287
CARHR279420	3944
CARHR172910	330
CARHR009320	990
CARHR089640	1539
CARHR056740	927
CARHR097430	414
CARHR285920	272
CARHR034560	954
CARHR091520	1252
CARHR142850	1086
CARHR146530	666
CARHR205630	744
CARHR277470	972
CARHR261840	405
CARHR273360	1066
CARHR209930	1610
CARHR023170	444
CARHR076710	1602
CARHR025940	909
CARHR185700	5406
CARHR220330	513
CARHR029610	2185
CARHR016540	1944
CARHR156410	2937
CARHR227640	2058
CARHR023470	1896
CARHR003000	727
CARHR200370	1065
CARHR088590	1248
CARHR228920	249
CARHR087540	1222
CARHR108560	1467
CARHR031930	898
CARHR174070	1405
CARHR249860	1443
CARHR060140	3281
CARHR041280	1014
CARHR171750	1759
CARHR270120	498
CARHR090780	792
CARHR090410	756
CARHR084930	258
CARHR132170	3386
CARHR155010	210
CARHR106170	1683
CARHR154760	3082
CARHR150220	717
CARHR103520	576
CARHR236820	909
CARHR204270	1218
CARHR022700	852
CARHR161070	2913
CARHR281710	1529
CARHR165750	525
CARHR081260	1113
CARHR287380	619
CARHR134930	1449
CARHR155380	2134
CARHR074820	1601
CARHR159060	1664
CARHR226190	1048
CARHR180850	2448
CARHR170400	462
CARHR004850	1284
CARHR203130	657
CARHR223010	360
CARHR219140	1503
CARHR179810	759
CARHR162600	219
CARHR006980	3597
CARHR217510	180
CARHR177750	210
CARHR202840	1345
CARHR280390	4153
CARHR248800	899
CARHR153750	1080
CARHR040620	1178
CARHR081880	243
CARHR173270	1788
CARHR047930	2452
CARHR080130	6986
CARHR208710	7042
CARHR119930	1155
CARHR037480	963
CARHR033300	624
CARHR207720	978
CARHR153280	264
CARHR128650	1448
CARHR030650	855
CARHR233500	2641
CARHR237880	3784
CARHR124370	777
CARHR253220	2430
CARHR135250	1002
CARHR127930	417
CARHR001510	813
CARHR202260	1980
CARHR069200	2353
CARHR064630	2532
CARHR037150	372
CARHR222760	3162
CARHR226220	513
CARHR288540	1989
CARHR162450	1333
CARHR239480	1427
CARHR063060	3462
CARHR225750	780
CARHR228100	3912
CARHR214630	675
CARHR284670	1722
CARHR290310	673
CARHR164850	3369
CARHR152480	1090
CARHR238680	4122
CARHR003850	1569
CARHR213170	1083
CARHR172580	474
CARHR176000	2477
CARHR038080	1281
CARHR094880	1563
CARHR163490	1665
CARHR214180	834
CARHR230080	1757
CARHR122430	1737
CARHR125420	1549
CARHR238530	222
CARHR229850	912
CARHR172630	1038
CARHR201760	654
CARHR157500	1309
CARHR038330	321
CARHR270950	3975
CARHR156670	5067
CARHR148830	1738
CARHR025180	1290
CARHR092830	1122
CARHR095820	1344
CARHR276460	1975
CARHR062330	360
CARHR042410	395
CARHR215580	1545
CARHR168380	1330
CARHR291040	564
CARHR282530	1323
CARHR235100	3183
CARHR292220	750
CARHR002720	1326
CARHR018740	1105
CARHR053140	4235
CARHR254270	639
CARHR129210	1797
CARHR293570	282
CARHR177850	1156
CARHR054490	1964
CARHR058170	2712
CARHR022300	276
CARHR004070	987
CARHR164140	1911
CARHR179940	2825
CARHR201180	1481
CARHR219920	2597
CARHR291590	3111
CARHR123740	1944
CARHR257890	2409
CARHR271600	1497
CARHR178090	2035
CARHR175060	3714
CARHR145410	696
CARHR174330	1248
CARHR161530	1974
CARHR049720	2813
CARHR289620	843
CARHR046910	969
CARHR277730	1236
CARHR292480	1552
CARHR113340	867
CARHR169040	3220
CARHR236450	1842
CARHR121420	3152
CARHR186700	2142
CARHR183550	588
CARHR098040	585
CARHR203850	703
CARHR187070	564
CARHR127110	1194
CARHR093870	1702
CARHR235810	231
CARHR290880	696
CARHR013650	1928
CARHR181950	204
CARHR011240	2608
CARHR111690	1433
CARHR019030	570
CARHR082210	2514
CARHR016020	1560
CARHR293680	978
CARHR180390	1831
CARHR289080	572
CARHR237410	924
CARHR017370	1716
CARHR161390	780
CARHR119090	2506
CARHR255630	1241
CARHR251990	2202
CARHR162840	1335
CARHR166540	3969
CARHR011790	1645
CARHR094060	2390
CARHR111520	282
CARHR252940	1476
CARHR104320	195
CARHR248490	4646
CARHR090990	4114
CARHR044510	1820
CARHR105050	261
CARHR196990	2847
CARHR193740	2307
CARHR120460	1534
CARHR021700	1685
CARHR114340	1545
CARHR244690	1395
CARHR189540	6977
CARHR050550	1935
CARHR248140	456
CARHR083310	1659
CARHR268070	807
CARHR105820	4617
CARHR180790	300
CARHR081740	2112
CARHR026950	1373
CARHR115160	5506
CARHR238940	2217
CARHR010680	504
CARHR052950	531
CARHR181040	357
CARHR252360	3784
CARHR291860	1563
CARHR091110	3454
CARHR016970	708
CARHR099460	1413
CARHR184670	1738
CARHR167630	2640
CARHR012260	1152
CARHR198840	1104
CARHR055450	1596
CARHR065220	2985
CARHR017080	1590
CARHR056180	4521
CARHR288020	354
CARHR259850	1345
CARHR064570	729
CARHR010530	3868
CARHR182630	4562
CARHR199460	900
CARHR102580	228
CARHR113580	1802
CARHR294330	6195
CARHR028500	555
CARHR020070	243
CARHR117690	1618
CARHR198590	3090
CARHR051200	891
CARHR247340	3313
CARHR212340	3679
CARHR105580	2221
CARHR055980	336
CARHR213430	597
CARHR102050	1581
CARHR084650	369
CARHR169220	771
CARHR011130	2306
CARHR257460	231
CARHR057580	761
CARHR061900	951
CARHR232990	1174
CARHR035760	771
CARHR149310	213
CARHR188390	1825
CARHR013130	2046
CARHR220130	594
CARHR136870	3319
