# Program:featureCounts v1.6.0; Command:"/home/jqsun/local/bin/featureCounts" "-T" "1" "-s" "1" "-t" "gene" "-g" "ID" "-a" "/home/jqsun/research/data/genome/IWGSC_RefSeq_v1.1_CS/iwgsc_refseqv1.1_genes_2017July06/IWGSC_v1.1_HC_20170706.ext_1.0k.chrA.gff3" "-o" "20181109.A-TaeRS_1_Tae_RS1_1.chrA.counts.homeolog.txt" "20181109.A-TaeRS_1_Tae_RS1_1.chrA.homeolog.ref.bam" 
Geneid	Chr	Start	End	Strand	Length	20181109.A-TaeRS_1_Tae_RS1_1.chrA.homeolog.ref.bam
TraesCS1A02G000100	chr1A	39098	70338	-	31241	0
TraesCS1A02G000200	chr1A	70239	90245	+	20007	0
TraesCS1A02G000300	chr1A	95906	105903	+	9998	0
TraesCS1A02G000400	chr1A	102794	123504	+	20711	0
TraesCS1A02G000500	chr1A	148490	154559	-	6070	0
TraesCS1A02G000600	chr1A	162313	163609	+	1297	0
TraesCS1A02G000700	chr1A	168592	169969	-	1378	0
TraesCS1A02G000800	chr1A	179175	180552	-	1378	0
TraesCS1A02G000900	chr1A	233818	246051	+	12234	0
TraesCS1A02G001100	chr1A	268472	289602	-	21131	0
TraesCS1A02G001000	chr1A	269605	272936	-	3332	0
TraesCS1A02G001200	chr1A	287697	288957	+	1261	0
TraesCS1A02G001400	chr1A	293611	305428	-	11818	0
TraesCS1A02G001300	chr1A	297266	298652	+	1387	0
TraesCS1A02G001500	chr1A	326099	327518	+	1420	0
TraesCS1A02G001600	chr1A	337960	339256	+	1297	0
TraesCS1A02G001700	chr1A	403455	404751	+	1297	0
TraesCS1A02G001800	chr1A	1144333	1146934	+	2602	39
TraesCS1A02G001900	chr1A	1158194	1162830	-	4637	7
TraesCS1A02G002000	chr1A	1162830	1167878	-	5049	0
TraesCS1A02G002100	chr1A	1170356	1178383	+	8028	0
TraesCS1A02G002200	chr1A	1188844	1191864	+	3021	0
TraesCS1A02G002300	chr1A	1208721	1212812	-	4092	25
TraesCS1A02G002400	chr1A	1227914	1229339	-	1426	0
