CARHR207710	AT5G05550
CARHR105210	AT2G14610
CARHR262820	AT5G39510
CARHR146680	AT3G25780
CARHR031240	AT1G31885
CARHR212360	AT5G01010
CARHR208940	AT5G04347
CARHR099870	AT3G23870
CARHR035620	AT1G43650
CARHR152340	AT3G29180
CARHR047700	AT1G63640
CARHR026970	AT1G27385
CARHR010370	AT1G10270
CARHR172440	AT3G62100
CARHR037830	AT1G48200
CARHR129560	AT2G35410
CARHR033860	AT1G34430
CARHR268780	AT5G55470
CARHR052970	AT1G60010
CARHR154220	AT3G45890
CARHR212490	ATCG01010
CARHR016910	AT1G16440
CARHR133470	AT2G38380
CARHR094410	AT3G18990
CARHR265140	AT5G52220
CARHR219440	AT4G13670
CARHR191380	AT5G22160
CARHR251160	AT4G02790
CARHR141080	AT2G45810
CARHR163110	AT3G53190
CARHR012200	AT1G11880
CARHR096780	AT3G20898
CARHR184610	AT2G23940
CARHR221200	AT4G14723
CARHR132770	AT2G38170
CARHR247090	AT4G39640
CARHR240110	AT4G32180
CARHR195890	AT5G17330
CARHR070710	AT1G77240
CARHR086790	AT3G12230
CARHR070240	AT1G76700
CARHR029960	AT1G30550
CARHR273890	AT5G60210
CARHR064000	AT1G70740
CARHR060780	AT1G68110
CARHR064550	AT1G71250
CARHR234170	AT4G26590
CARHR267850	AT5G54570
CARHR162600	AT3G52730
CARHR209160	AT5G04110
CARHR010510	AT1G10380
CARHR193870	AT5G19100
CARHR024230	AT1G23830
CARHR028560	AT1G29200
CARHR259560	AT4G08520
CARHR245780	AT4G37400
CARHR091280	AT3G16120
CARHR268240	AT5G54900
CARHR060250	AT1G67640
CARHR002510	AT1G03170
CARHR280540	AT5G67110
CARHR093210	AT3G17860
CARHR191650	AT5G21482
CARHR263190	AT5G39220
CARHR127270	AT2G33260
CARHR124760	AT2G31160
CARHR018950	AT1G18360
CARHR075610	AT3G01370
CARHR093330	AT3G18020
CARHR215950	AT5G37020
CARHR281150	AT5G66590
CARHR195090	AT5G17980
CARHR244920	AT4G36590
CARHR163800	AT3G53920
CARHR109010	AT2G18410
CARHR149190	AT3G27730
CARHR051770	AT1G60780
CARHR129160	AT2G35000
CARHR051950	AT1G60930
CARHR269310	AT5G55940
CARHR268100	AT5G54760
CARHR164600	AT3G54680
CARHR009320	AT1G09350
CARHR009630	AT1G09660
CARHR173640	AT5G47670
CARHR089640	AT3G14690
CARHR153560	AT3G30775
CARHR269640	AT5G56240
CARHR179200	AT5G44080
CARHR147330	AT3G26320
CARHR266100	AT5G53080
CARHR135260	AT2G40230
CARHR227500	AT4G20940
CARHR120720	AT2G28000
