chi_gene	Ensembl Gene ID	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Chromosome Name
CARHR000010	AT4G25500	13024571	13027484	RS40	arginine/serine-rich-splicing factor RSP40 [Source:EMBL;Acc:AEE85068.1]	4
CARHR000050	AT4G00467	214846	216076	AT4G00467	Calcium-dependent lipid-binding (CaLB domain) family protein [Source:EMBL;Acc:AEE81886.1]	4
CARHR000070	AT3G16690	5684359	5686490	SWEET16	nodulin MtN3-like protein [Source:EMBL;Acc:AEE75852.1]	3
CARHR000080	AT2G15710	6842648	6845103	AT2G15710	TRAF-like family protein [Source:EMBL;Acc:AEC06432.1]	2
CARHR000090	AT3G60140	22216672	22220824	DIN2	beta-glucosidase 30 [Source:EMBL;Acc:AEE80017.1]	3
CARHR000120	AT1G02205	418748	422438	CER1	CER1 protein [Source:EMBL;Acc:AEE27400.1]	1
CARHR000130	AT1G02190	415079	418010	AT1G02190	putative CER1 protein [Source:EMBL;Acc:AEE27398.1]	1
CARHR000140	AT1G02180	413522	414645	AT1G02180	ferredoxin-like protein [Source:EMBL;Acc:AEE27397.1]	1
CARHR000150	AT1G02170	411779	413554	MCP1B	metacaspase 1 [Source:EMBL;Acc:AEE27396.1]	1
CARHR000160	AT1G02160	410748	411597	AT1G02160	Cox19 family protein (CHCH motif) [Source:EMBL;Acc:AEE27395.1]	1
CARHR000170	AT1G02150	408622	410611	AT1G02150	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE27393.1]	1
CARHR000180	AT1G02145	404600	408619	EBS4	alpha-1,6-mannosyltransferase [Source:EMBL;Acc:AEE27390.1]	1
CARHR000190	AT1G02140	403190	404456	MEE63	protein mago nashi [Source:EMBL;Acc:AEE27388.1]	1
CARHR000200	AT1G02130	400035	401882	ATRABD2A	Ras-related protein RABD2A [Source:EMBL;Acc:AEE27387.1]	1
CARHR000210	AT1G02120	395761	399897	VAD1	GRAM domain family protein [Source:EMBL;Acc:AEE27386.1]	1
CARHR000220	AT1G02110	392831	395528	AT1G02110	uncharacterized protein [Source:EMBL;Acc:AEE27385.1]	1
