AT1G06190	CARHR005720
AT4G02110	CARHR250290
AT1G06620	CARHR006210
AT4G09460	CARHR260370
AT2G46660	CARHR141990
AT4G14760	CARHR221290
AT3G26680	CARHR147690
AT5G39110	CARHR103170
AT3G09770	CARHR084210
AT5G62600	CARHR276380
AT3G10470	CARHR084980
AT2G41880	CARHR136970
AT2G45660	CARHR140880
AT3G21710	CARHR097660
AT1G12100	CARHR012460
AT3G50890	CARHR160460
AT4G39730	CARHR246990
AT2G34630	CARHR128730
AT2G43010	CARHR138070
AT1G49040	CARHR039080
AT1G64890	CARHR034490
AT3G46720	CARHR154970
AT3G51350	CARHR160930
AT3G15530	CARHR090590
AT3G21340	CARHR097260
AT4G17380	CARHR223990
AT5G08141	CARHR205040
AT2G32280	CARHR126090
AT5G07710	CARHR205440
AT2G29380	CARHR122650
AT1G09210	CARHR009170
AT1G58430	CARHR283970
AT1G05090	CARHR004550
AT2G35940	CARHR130200
AT5G05570	CARHR207690
AT1G76490	CARHR070040
AT3G02030	CARHR074910
AT1G16280	CARHR016750
AT5G45590	CARHR176440
AT5G01580	CARHR211930
AT1G06440	CARHR006050
AT1G20090	CARHR020570
AT5G06000	CARHR207200
AT4G00200	CARHR248250
AT5G62480	CARHR276270
AT5G63870	CARHR277770
AT5G02070	CARHR211280
AT1G53320	CARHR043550
AT5G21960	CARHR191570
AT3G23820	CARHR099820
AT4G25190	CARHR232590
AT1G64090	CARHR046850
AT5G64620	CARHR278590
AT5G41070	CARHR213300
AT1G75280	CARHR068620
AT4G17030	CARHR223590
AT2G24170	CARHR118110
AT2G37010	CARHR131490
AT2G01690	CARHR144260
AT1G03010	CARHR002350
AT2G07706	CARHR282850
AT4G33090	CARHR241120
AT1G68690	CARHR061500
AT4G01883	CARHR249850
AT5G65683	CARHR279640
AT4G21200	CARHR227790
AT4G37390	CARHR245770
AT5G65687	CARHR279660
AT5G65685	CARHR279670
AT4G14690	CARHR221150
AT5G59590	CARHR273040
AT5G61360	CARHR275120
AT1G62320	CARHR049750
AT1G65410	CARHR057060
AT1G54330	CARHR046000
AT1G50430	CARHR040440
AT4G09550	CARHR260420
AT2G34490	CARHR128580
AT4G27910	CARHR235610
AT4G13800	CARHR219690
AT4G37970	CARHR246380
AT2G25100	CARHR116600
AT3G43230	CARHR153450
AT1G07860	CARHR007670
AT3G01516	CARHR075420
AT3G54030	CARHR163930
AT1G11100	CARHR011290
AT3G01513	CARHR075430
AT1G64320	CARHR046640
AT5G47840	CARHR184380
AT4G33890	CARHR241980
AT2G01860	CARHR144420
AT1G57780	CARHR054350
AT2G43280	CARHR138370
AT3G17070	CARHR092320
AT1G74880	CARHR068200
AT4G00525	CARHR248680
AT1G74730	CARHR068050
AT1G20350	CARHR020820
AT5G51700	CARHR264540
AT5G45990	CARHR087800
AT2G43445	CARHR224500
AT3G06390	CARHR080920
AT3G18420	CARHR093780
AT1G06990	CARHR006660
AT3G14770	CARHR089700
AT5G05970	CARHR207240
AT4G12460	CARHR253740
AT3G14950	CARHR089890
AT1G10850	CARHR011070
AT4G28990	CARHR236720
AT5G09860	CARHR203490
AT5G51870	CARHR264770
AT2G16950	CARHR107250
AT5G05750	CARHR207530
AT3G54760	CARHR164700
AT1G07710	CARHR007490
AT1G70140	CARHR063230
AT3G61310	CARHR171620
AT1G70410	CARHR063580
AT5G53140	CARHR266200
AT2G43900	CARHR139090
AT5G03650	CARHR209650
AT5G19060	CARHR193930
AT3G14000	CARHR088810
AT5G03840	CARHR209420
AT1G80640	CARHR073880
AT1G61310	CARHR052080
AT2G47240	CARHR142630
AT1G52490	CARHR172770
AT1G74080	CARHR067240
AT3G58140	CARHR168500
AT5G45490	CARHR176540
AT3G28750	CARHR151750
AT3G53490	CARHR163390
AT5G61810	CARHR275570
AT5G38220	CARHR214440
AT5G38990	CARHR263480
AT4G13420	CARHR219060
AT4G28440	CARHR236210
AT4G30270	CARHR238180
AT1G74670	CARHR067960
AT2G38630	CARHR133300
AT1G24290	CARHR026810
AT2G29590	CARHR122930
AT5G19160	CARHR193780
AT4G39630	CARHR215520
AT5G11340	CARHR201920
AT3G17790	CARHR093140
AT4G12760	CARHR218100
AT1G15220	CARHR015750
AT5G15660	CARHR197660
AT2G31710	CARHR125350
AT2G31240	CARHR124840
AT5G18560	CARHR194460
AT4G34950	CARHR243230
AT1G36310	CARHR034970
AT3G02090	CARHR076050
AT5G59570	CARHR273030
AT3G44610	CARHR151540
AT1G20970	CARHR021430
AT1G18700	CARHR019320
AT3G55890	CARHR165990
AT2G21350	CARHR112230
AT5G14640	CARHR198680
AT1G73400	CARHR066460
AT1G52140	CARHR042270
AT5G58575	CARHR272410
AT2G37500	CARHR132110
AT1G10270	CARHR010370
AT2G42910	CARHR137980
AT3G28130	CARHR149770
AT5G42500	CARHR023280
AT2G26810	CARHR118990
AT1G21000	CARHR021470
AT4G15955	CARHR290560
AT4G25610	CARHR233030
AT4G35020	CARHR243300
AT5G06370	CARHR207120
ATMG00770	CARHR283100
AT1G08480	CARHR008370
AT1G21550	CARHR021920
AT1G80710	CARHR073790
AT2G44360	CARHR139520
